TweetID,tweet
1.50684E+18,"Suasana vaksinasi Covid-19 di Lobby Perintis Tangcity Mall, Kamis (24/3/2022), yang diselenggarakan Polsek Tangerang.

Tersedia dosis 1 &amp; 2 Sinovac untuk anak 6-11 tahun, dan dosis 1-3 AstraZeneca untuk umum dan lansia. Bisa daftar langsung di lokasi hingga pukul 14.00 WIB. https://t.co/Xg92KsdIL5"
1.50659E+18,"vaksin Coronavac, vaksin jadi buatan Sinovac asal Tiongkok, vaksin COVID-19, vaksin produksi Bio Farma dengan bahan baku dari Sinovac, vaksin AstraZeneca asal Inggris, vaksin Moderna dan Pfizer asal Amerika Serikat.

#IndonesiaSehatIndonesiaHebat"
1.50653E+18,Drama Korea Tentang Tenaga Medis dan Pengalaman Vaksin Booster AstraZeneca Covid-19 di Balai Desa Kertomulyo https://t.co/mHyuMbDKkk #GhostDoctor #HospitalShip #Vaksin #VaksinBooster #VaksinCovid19 #VaksinAstraZeneca #VaksinBoosterAstraZeneca
1.50627E+18,"Ayo masyarakat Jepara, ikuti Vaksinasi Covid-19 untuk dosis 1, 2, dan 3, pada Rabu dan Kamis, 23-24 Maret 2022 di Pendopo Kalinyamat/Alit (depan SMP N 6 Jepara).

Jenis Vaksin Sinovac, Pfizer, Astrazeneca, dan Moderna.

Pelaksanaan Vaksinasi Covid-19 mulai pukul 08.00-11.00 WIB. https://t.co/Zl34TNESqi"
1.50586E+18,"Hallo Sobat Soerojo ku! 
Sentra Vaksinasi Soerojo kembali mengadakan vaksinasi Covid-19 pada
RABU, 23 MARET 2022 untuk:
1. Vaksin AstraZeneca Untuk UMUM dengan usia minimal 18 tahun, Kuota 440 untuk Dosis 1, 2, dan BOOSTER https://t.co/A2gbYpM3nS"
1.50577E+18,"Nah loh AstraZeneca memakai adenovirus simpanse.
Simpanse jadi korban kebiadaban manusia
https://t.co/AF279sGCmi dengan judul ""Hanneke Schuitemaker, Peneliti HIV yang Kembangkan Vaksin Covid-19 J&amp;J"" ,"
1.50575E+18,"#Boosted
.
#booster #covid19 #indonesia #vaccine #thirddose #jakarta #rptra #astrazeneca @ Rptra Mustika Cideng https://t.co/8SNAzMHqpF"
1.50572E+18,"Rt @Bandung_Dinkes: Dokumentasi Pelaksanaan vaksinasi booster Covid-19 Massal oleh Seksi Surveilans dan Imunisasi @Bandung_Dinkes &amp; UPTD Balaikota di Taman Dewi Sartika, Sabtu (19/01/2022). Sebanyak 300 warga mendapatkan vaksin booster Astrazeneca.  https://t.co/4L8gAYa1xd"
1.50572E+18,"Dokumentasi Pelaksanaan vaksinasi booster Covid-19 Massal oleh Seksi Surveilans dan Imunisasi @Bandung_Dinkes &amp; UPTD Balaikota di Taman Dewi Sartika, Sabtu (19/01/2022). Sebanyak 300 warga mendapatkan vaksin booster Astrazeneca. @ahyaniR13 @humasbandung_ @PRFMnews @infobandung https://t.co/2v7c5kouvs"
1.50515E+18,"#BHdunia Ubat buatan AstraZeneca turut diluluskan di AS, Perancis dan negara lain

https://t.co/OWT6Rit9RF

#coronavirus #covid19 #vaksin"
