TweetID,tweet
1.50696E+18,"@cowokberkemeja @iwanjanuarcom Emangnya lo bayar vaksin?? Lo mati karna corona jg negara yg bayar, beliin peti mati sama plastik kafan."
1.50503E+18,"Harga pakej vaksin dekat hospital anak. Bila buat kira-kira tak banyak sangat beza dengan bayar by appointment.

saya tanya doktor beza PCV10 dan PCV13?  Generally sama sahaja, 

PCV10 (gsk)
PCV13 (Pfizer)

Samalah mcm ambil covid punya vaksin, ada astrazaneca brand lain. https://t.co/X9g63kfFan"
1.5033E+18,"@Ericyourbae @tm_endik @Lavedae @ProfesorZubairi Elo ga bayar pajak seh!! Hh... 
Ini nih klo mindsetnya muter2 di tempat doang... Ga baca elo tong rentetan soal  covid19 ini selain vaksin? Ada antigen, ada PCR..hayulah byk2 literasi siapa yg menguasai bisnis busuk ini??"
1.50287E+18,"@SBSembiring @CNNIndonesia @Kemenag_RI @Kemendag Vaksin gratis, Pengobatan covid dllnya gratis itu karena yang bayar APBN
Pak mana ada yg gratis, pipis ajja bayar 2 rebu 😎"
1.50247E+18,"@reza_nukleuz @Hilmi28 Pengobatan covid apa bre, Rumah sakit dihutang, nakes ada yg blm dibayar, bansos di korup, PCR dan antigen bayar, vaksin dpt hibahan, jd duit nya pd kmana kok bsa ga ada duit...???"
1.50154E+18,"@dayatia Biarkan saja,org yg ga mau di vaksin gapapa,asal konsekwen kalo kena virus covid obat dan RS nya bayar sendiri"
1.50151E+18,@di_ponegoro @dayatia Memang ada vaksin covid yg bayar?
1.50145E+18,"motivasi terkuat cepet-cepet vaksin booster 3:
- biar imun kuat dan minim risiko tertular covid ❌
- biar kalo pergi luar kota ga bayar PCR/antigen ✅✅✅✅✅ https://t.co/PVWRn5hfGH"
1.50133E+18,"Syarat bayar pajak itu : 
1.Harus sudah divaksin covid.
2.Sudah punya kartu BPJS,
Klw belum vaksin dan gak punya kartu BPJS gak bisa bayar pajak,,gitu ya Pung?. https://t.co/dUWt1zLRUs"
1.501E+18,"@kimiafarmaind Iya, kak, tapi jadwalnya ga cocok. Belum cukup jeda sejak + covid dan HRD ga bisa kasih info kapan ada lagi. Jadi untuk vaksin sinopharm ini ga bisa dateng (dan bayar) personal ke KF yang menyediakan ya?"
1.50001E+18,"@SisiwittFrida Lahh nslh pandemi covid 19 siapa yg bisa mengelak ibu..? Negara super power aja sempat goncang dibuatnya. Apalagi seperti Indonesia yg hanya sebagai negara berkembang. Apalgi rakyatnya yg sebagian pada tolol disuruh vaksin aja banyak yg tdk mau. Padahal gratis,gimana kalau bayar."
1.49964E+18,"Yaudala ya yang penting kita bisa terbang, test antigen aje dah bayar tuh antigen seoranh 200 rebay perorang, eh taunya anak dibawah 12 tahun harus PCR juga bos. Anak kita masi dibawah 2 tahun tetep juga PCR soalnya dia belom vaksin covid yaiyala dibawah 2 tahun bos."
1.49886E+18,"On the other side, i know few friends yang tak vaksin, tapi claim vaksin and bayar beribu untuk sijil palsu.

Then kena covid, tapi tak heboh.

Pastu duk claim kata tak pernah kena covid lagi 😭 https://t.co/pw98VwSIFJ"
1.49863E+18,Indonesia kapan ga berlakukan karantina lg utk kedatangan internasional? Mending aq bayar vaksin covid drpd duit habis bayar hotel karantina. Mending pake masker 5 lapis bawa hand sanitizer 1 derijen kemana2 drpd karantina. Malesin.
1.49854E+18,"@dr_koko28 Sekarang nutrisi yg salahin...
Stop sebar ketakutan soal covid
Stop mendewa2kan vaksin sebagai solusi mengatasi covid
Cukupi kebutuhan masyarakat, gembirakan mereka ...
Imun naik g mudah sakit, negara g perlu bayar mahal untuk vaksin.. kcuali emang DAGANG"
1.49852E+18,"@republikaonline Sekarang itu yang bikin ribet aturannya, 
Sudah vaksin terus kena covid harus isoman 14 hari, eh perusHaN ada yang bayar gaji setengah bahkan ada yang enggk bayar sama sekali,
Terus pemerintah kemana? 
Solusinya apa?"
1.49824E+18,"@rrasyid34 @KetutRis @ismailhasan13 @pirenaningsih @blogdokter Padahal vaksin korona juga gratis, apa lagi klo bayar 🤣🤣"
1.49752E+18,"Pemerintah selalu berkata untuk melawan covid supaya vaksinasi, taat prokes, kurangi mobilitas, sama halnya anjuran supaya bayar pajak tepat pada waktunya, rakyat tidak butuh retorika, rakyat butuh bukti nyata."
1.4973E+18,"@Yani03495310 @OposisiCerdas Coba jelaskan seberapa hancur Corona buat Indonesia,saya gak tanya luar negeri,lalu bagaimana penyelesaian vaksin Mulu gak ada habisnya uang sape tu xg buat bayar gak usah ngaku uang sapa kalau paham IQ Anda tinggi"
1.49709E+18,"@DoddyMaxell @Oming72494594 @WangResa @jansen_jsp Pola berfikir elu aja salah kok bilang orang bodoh.

Vaksin covid gratis?
Itu yg bayar negara. 
Negara bayar pake pajak yg di pungut dari yg vaksin maupun yang menolak vaksin.

Trus yg bodoh siapa?"
1.49679E+18,"Kapan tersedia? Gratiskah? Kalau pun bayar, berapa harganya? Yuk, cek informasi seputar vaksin booster Covid 19 berikut ini! https://t.co/IebcE90akH"
1.49643E+18,"Makmur para pemain bisnis vaksin Covid dan bisnis terkait dengan covid..
Cukup bayar segelintir ANJING buat pengalihan isu.. isu agama isu SARA yg paling mudah memicu nalar2 dangkal ikut2 meramaikan...
Demikian dan salam Brekekekekekkekek"
1.49642E+18,"@rahardianhadi07 @DRespati3 Yoi... 
Harusnya cuma yg pro pemerintah doang yg dapat fasilitas 3x vaksin gratis.

Trus yg suka kritik dan menghina pemerintah hrusnya gk dpt vaksin gratis tp harus bayar masing2..

Anehnya KADRUN gk tau diri, coba klo mrk gk d vaksin atau kena covid trs sakit ya bisa mati the"
1.49633E+18,"@detikcom Asal sudah vaksin 2x
Sudah saatnya test covid untuk penerbangan lokal dan KA dihentikan.
Ga masuk akal harus bayar untuk sesuatu yg menyakiti diri sendiri"
1.49633E+18,"@sudah_vaksinke2 @Nugroho_Wiwoko @anaqembar @prayuyal @CNNIndonesia Kalo positif kena Covid kn gratis. Gk byr sepeserpun. Bayar administrasi aja nggak. Thn lalu sy dirawat 10 hari kena Delta. Gratis. Alhamdulilah selamat. Om &amp; nenek sy gamau vaksin, kena jg &amp; skrg almarhum."
1.49495E+18,"@cnbcindonesia Pasti karna vaksin untuk pandemi udah siap diriset dan diproduksi jadi habis covid terbitlah kopit dan tiap orang harus bayar untuk bernafas...ah udah ketahuan lah, ini memang isu over populasi"
1.49424E+18,Kalo belum pernah vaksin dan terpapar Covid19 biaya rumah sakit bayar sendiri saja....kebanyakan polah sih.... https://t.co/KiseKR0H7W
