TweetID,tweet
1.50705E+18,"Moderna Klaim Vaksin COVID-19 Aman dan Efektif Bagi Anak-anak
https://t.co/5u1m69BNfW"
1.50705E+18,"Moderna Klaim Vaksin COVID-19 Aman dan Efektif Bagi Anak-anak
https://t.co/lZxmjyhZAZ"
1.50698E+18,@AbdulGaniJkt @tvOneNews Kalau vaksin efektif kenapa takut pada OTG? jika tidak efektif menangkal covid kenapa harus vaksin?
1.5069E+18,#Benarkah Vaksin Moderna Terbukti Efektif Cegah Covid-19 Bergejala pada Anak Usia 6 Tahun ke Bawah? - Pikiran Rakyat Depok - Pikiran Rakyat Depok #Covid #Covid19 https://t.co/LqbB7x2iSZ
1.5069E+18,Benarkah Vaksin Moderna Terbukti Efektif Cegah Covid-19 Bergejala pada Anak Usia 6 Tahun ke Bawah? https://t.co/q7jqhLNv8C
1.50689E+18,Moderna Klaim Vaksin COVID-19 Aman dan Efektif Bagi Anak-anak https://t.co/9qCLIxWOpz
1.50684E+18,Vaksinasi terbukti efektif mencegah angka kesakitan dan kematian akibat infeksi COVID-19. https://t.co/3UaleHdeSO
1.50683E+18,"Vaksinasi lengkap terbukti efektif menciptakan antibodi guna kebal dari covid 19
Dukung Ekonomi Kreatif https://t.co/rihkrGYUQb"
1.50683E+18,"Vaksin Moderna Covid untuk anak di bawah 6 tahun efektif hingga 44% terhadap infeksi omicron.

https://t.co/QjAMT7X85P"
1.50682E+18,Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi. Dukung Ekonomi Kreatif https://t.co/SSr2aoO5du
1.50682E+18,"Tren penanganan Covid-19 terus membaik, vaksinasi lengkap terbukti efektif menciptakan antibodi. Dukung Ekonomi Kreatif https://t.co/nuKfiQZUm9"
1.50682E+18,"Tren penanganan Covid-19 terus membaik, vaksinasi lengkap terbukti efektif menciptakan antibodi. Dukung Ekonomi Kreatif https://t.co/DNIy4JyhsU"
1.50682E+18,"Tren penanganan Covid-19 terus membaik, vaksinasi lengkap terbukti efektif menciptakan antibodi. Dukung Ekonomi Kreatif https://t.co/6cvieipIno"
1.50682E+18,"Tren penanganan Covid-19 terus membaik, vaksinasi lengkap terbukti efektif menciptakan antibodi. Dukung Ekonomi Kreatif https://t.co/oYBQi2U7dD"
1.50682E+18,"Tren penanganan Covid-19 terus membaik, vaksinasi lengkap terbukti efektif menciptakan antibodi. Dukung Ekonomi Kreatif https://t.co/dS47Xd6e4X"
1.50664E+18,"KABAR BAIK!

Vaksin Moderna dilaporkan terbukti efektif untuk anak usia 6 bulan hingga 6 tahun.

Efikasi untuk Omicron:
Usia 6 bln - 2 thn: 43,7%
Usia 2-6 thn: 37,5%

Tidak ada anak yang divaksin yg Covid-19 berat, rawat inap, atau meninggal.

Sumber:

https://t.co/dAk7HgpAzY"
1.50653E+18,@kris_rosari vaksin aman dan efektif meminimalisir potensi tertular covid19
1.50652E+18,"Saat ini, para peneliti sedang berjuang menemukan vaksin virus corona yang aman dan efektif untuk di... https://t.co/btjSCwxFY2"
1.50645E+18,"Disiplin Prokes, PPKM dan vaksinasi efektif kendalikan pandemi Covid-19

Jokowi Selalu Dihati https://t.co/Xx9tQKrp2p"
1.50644E+18,"Dipenelitian yang sama, tertulis, kalau orang yang udah terinfeksi Covid 19 dan Vaksin, baik vaksin dulu terus terinfeksi atau sebaliknya, lebih efektif menetralisir covid 19 dari pada antibodi yang dihasilkan dari terinfeksi saja."
1.50642E+18,"Vaksin aman dan efektif cegah Covid-19

#IndonesiaSehat https://t.co/YejHdYtpTK"
1.50625E+18,Taat Prokes dan Vaksinasi Efektif Tekan kasus Covid-19 Jelang Ramadhan https://t.co/gcqXNPd76N
1.50625E+18,Taat Prokes dan Vaksinasi Efektif Tekan kasus Covid-19 Jelang Ramadhan https://t.co/28yTtkc6w5
1.50624E+18,Seberapa Efektif Dosis ke-4 Vaksin Covid-19? Ini Penjelasannya https://t.co/X9V4DXXwW2
1.50622E+18,Taat Prokes dan Vaksinasi Efektif Tekan Kasus Covid-19 Jelang Ramadhan https://t.co/i9wNbYYPDh
1.5062E+18,Taat Prokes dan Vaksinasi Efektif Tekan kasus Covid-19 Jelang Ramadhan https://t.co/gYDdTU6TKg
1.50616E+18,"Tren Penurunan COVID-19 Terus Terjadi, Vaksinasi Lengkap Terbukti Efektif Perkuat Antibodi https://t.co/k0dz1eklzx"
1.50616E+18,"Tren Penurunan COVID-19 Terus Terjadi, Vaksinasi Lengkap Terbukti Efektif Perkuat Antibodi https://t.co/Xykr6X5uba"
1.50614E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi Jokowi Selalu Dihati
https://t.co/YlxyXXhiHN"
1.50614E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi

https://t.co/iEbZei4ntf"
1.50613E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi | Jokowi Selalu Dihati https://t.co/WdNMWu02Va"
1.50613E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi | Jokowi Selalu Dihati https://t.co/MzwSiWRCzq"
1.50613E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
Jokowi Selalu Dihati
https://t.co/lOlTJHVIYc"
1.50613E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi | Jokowi Selalu Dihati https://t.co/enmbDsuqAp"
1.50612E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi | Jokowi Selalu Dihati https://t.co/fZ7qMQiA1n"
1.50611E+18,"Jokowi Selalu Dihati

Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
https://t.co/wy920dhHHw"
1.50611E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi. Jokowi Selalu Dihati
https://t.co/8I3RT0seDt"
1.50611E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
https://t.co/tqImniIc61
Jokowi Selalu Dihati"
1.50611E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi

Jokowi Selalu Dihati

https://t.co/orGdlzIct0"
1.50611E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
Jokowi Selalu Dihati
#JokowiSelaluDihati
#JokowiSelaluDihati
https://t.co/L0a2wcKuRN"
1.50611E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
https://t.co/1V0FdFR9om

Jokowi Selalu Dihati"
1.50611E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi

Jokowi Selalu Dihati
https://t.co/LlokWTCoTe"
1.5061E+18,"Bagaimana bila setelah vaksinasi namun belum terinfeksi korona,  perkembangan sistem imun yang efektif mulai terganggu termasuk saraf, bagaimana bila gangguan ini lebih sering terjadi &amp; lebih terasa pasca dilakukannya vaksinasi? Sialnya, ini disalahartikan sebagai COVID-19 🤣 https://t.co/vwKHO0tyuI"
1.5061E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi. Jokowi Selalu Dihati
https://t.co/URsfDgdN0Z"
1.5061E+18,"Disiplin Prokes, PPKM dan vaksinasi efektif kendalikan pandemi Covid-19

Jokowi Selalu Dihati https://t.co/gCU1jtloSD"
1.5061E+18,"Disiplin Prokes, PPKM dan vaksinasi efektif kendalikan pandemi Covid-19

Jokowi Selalu Dihati https://t.co/WsWTuk8WNd"
1.5061E+18,#vaksinasi dan prokes efektif cegah penularan #COVID19 https://t.co/zv1FalZkog
1.5061E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
https://t.co/kLbuID91Ls

Jokowi Selalu Dihati"
1.5061E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi, Jokowi Selalu Dihati
https://t.co/Y5yMqkSmyB"
1.5061E+18,"Jokowi Selalu Dihati Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
https://t.co/ntxcdu35Mu"
1.5061E+18,"Jokowi Selalu Dihati Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
https://t.co/VBmX5Bemhy"
1.5061E+18,"Jokowi Selalu Dihati Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
https://t.co/LLtT7vap71"
1.5061E+18,"Jokowi Selalu Dihati Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
https://t.co/5SA6okXcRt"
1.5061E+18,"Jokowi Selalu Dihati Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
https://t.co/7o4NCzeqRq"
1.5061E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
Jokowi Selalu Dihati

https://t.co/U96OutTTPv"
1.5061E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
Jokowi Selalu Dihati
https://t.co/343QyE1IP2"
1.50609E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
Jokowi Selalu Dihati
https://t.co/azqh0d3tYO"
1.50609E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
Jokowi Selalu Dihati
https://t.co/wSKaO4a4eW"
1.50609E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi.Jokowi Selalu Dihati
https://t.co/1NVZTAFWsk"
1.50609E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
https://t.co/fDn0xfhGzD
Jokowi Selalu Dihati"
1.50609E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
https://t.co/ezmolKbaip
Jokowi Selalu Dihati"
1.50609E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
https://t.co/0HzSuH1h4P
Jokowi Selalu Dihati"
1.50609E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
Jokowi Selalu Dihati
https://t.co/tkAfw81mez"
1.50609E+18,"Tren Penanganan COVID-19 Terus Membaik, Vaksinasi Lengkap Terbukti Efektif Menciptakan Antibodi
Jokowi Selalu Dihati
https://t.co/tnIEKTmCxy"
