TweetID,tweet
1.50697E+18,"@OposisiCerdas Vaksin gratis.. semangat nya agar Rakyat NKRI tidak rentan terhadap covid, kalau tidak mau vaksin tidak usah naik pesawat,kereta / kapal laut..gitu aja kok repot!!!
Aturan pemerintah untuk kebaikan bersama baik yg mudik ataupun yang di tuju!!"
1.50696E+18,"@bukan4non @ShibaToTheMoon @Dar_Sons9021 @giderha @tvOneNews Bukannya untuk vaksin gratis???Dengan vaksin akan tidak rentan dengan covid .mungkin otakmu yg cuma dikit!!
Semangat nya adalah agar Rakyat di NKRI terhidar dari virus!!
Salahnya dimana????"
1.50696E+18,"@cowokberkemeja Kalau covid melonjak, buat biaya pengobatan nya yg gratis itu pake dana dr mana? APBN jg kan?Gede mana biaya pencegahan dgn vaksin atau pengobatan. Masak gak mau kyk Belanda yg bebas masker dgn pencapain booster diatas 90%"
1.50693E+18,"Sedih banget w nanya vaksin PCV beneran bisa gratis atau ngga di Puskesmas ke bidan desa, balesnya malah, ""PCV sih vaksin apa, bu? Di Puskesmas adanya vaksin covid.""

😩😩😩"
1.50692E+18,"@amwidyou Lah gue pertama liat spanduknya di Malang malah pas vaksin covid, gratis. 

Masa Jatim duluan baru Jateng?"
1.5069E+18,#Asyik! Vaksin COVID-19 di Sini Dapat Minyak Goreng Gratis - detikHealth #Covid #Covid19 https://t.co/869T0k3Wk3
1.50683E+18,@kompascom Tapi pemerintah membagikan mi-gor gratis demi mencapai target vaksin covid 19.
1.50683E+18,"Polsek Kualuh Hulu selenggarakan vaksinasi covid 19 massal gratis Dosis I, II dan III untuk masyarakat berbagai kalangan termasuk anak sekolah di Gerai Mako Polsek Kualuh Hulu. Kamis (24/03) pkl 09.00 wib https://t.co/g0UlPthBkn"
1.50682E+18,"@geloraco Nonton motogp cuma 100 rban 1tempat dari segitu banyak lokal, mudik jutaan menyebar seluruh wilayah , dari pusat covid keluar yg aman covid , kasihan klo bawa pulang virus toh vaksin gratis makin mudah , biar segera berakhir corona saling menjaga"
1.5068E+18,"Vaksin Covid19 1 &amp; 2 Gratis. Booster Vaksin nya Gratis. Yg tdk krn ""sakit"" masih tdk mau ke centra vaksin untuk di vaksin ?  Kemudian salahkan  pemerintah krn bikin aturan boleh pergi2 jika sdh divaksin 1 &amp; 2  ?  #begitulah golongan Tidak Pandai Bersyukur."
1.50671E+18,Pemerintah Bakal Siapkan Posko Vaksinasi Covid-19 Gratis bagi Pemudik Lebaran 2022 https://t.co/yWCUZPzvsv
1.5067E+18,Pemerintah Bakal Siapkan Posko Vaksinasi Covid-19 Gratis bagi Pemudik Lebaran 2022 https://t.co/fXeVZpkypv
1.50664E+18,"@ShamsiAli2 Vaksin booster gratis tujuannya utk memberi perlindungan kesehatan, supaya covid lekas hilang dan rakyat  jadi kebal, seharusnya anda ikut menyukseskan supaya orang2 bondong pada vaksin."
1.50661E+18,"Banyak yg protes klo vaksin 3 booster jadi syarat mudik lebaran
Padahal niat pemerintahnya baik biar pada di vaksin biar terhindar dr covid pas mudik, pada ngeluh ae padahal vaksin juga gratis kenapa bilang pemerintah bisnis, yg ada keluar biaya bestie"
1.50661E+18,"Knp si, bacot amat ttg vaksin? Bermula dr vaksin berbayar, trs gratis, vaksin China, 2x vaksin, booster, trs aja membacot, pdhl kalian kan tahu manfaat vaksin covid 19.
Jgn hny krn tdk suka dgn pemerintah trus hrs selalu beda pilihan, itu mah geblek.. https://t.co/Iy0Y9Mhf3M"
1.50656E+18,"Hubungan antara Vaksin Covid-19 dengan Sel – Sel Janin Bayi Hasil Aborsi

 https://t.co/nXDwsgOkME"
