TweetID,tweet
1.50705E+18,"Moderna Klaim Vaksin COVID-19 Aman dan Efektif Bagi Anak-anak
https://t.co/5u1m69BNfW"
1.50705E+18,"Moderna Klaim Vaksin COVID-19 Aman dan Efektif Bagi Anak-anak
https://t.co/lZxmjyhZAZ"
1.50695E+18,"Angin Segar, Moderna Sebut Vaksin COVID-19 Buatannya Aman untuk Anak 6 Bulan ke Atas https://t.co/ngmMEF0kgb"
1.50694E+18,Moderna: Vaksin Covid-19 Aman untuk Anak Usia Enam Bulan Hingga Lima Tahun https://t.co/b1cIgz8xNl https://t.co/eqeXAbT0cA
1.50692E+18,Moderna telah meminta persetujuan pemberian vaksin Covid-19 anak kecil. https://t.co/AcqTQiZVlk
1.50692E+18,"Moderna: Uji Coba Vaksin Covid-19 untuk Bayi Berhasil

https://t.co/EKocNe2223"
1.5069E+18,#Benarkah Vaksin Moderna Terbukti Efektif Cegah Covid-19 Bergejala pada Anak Usia 6 Tahun ke Bawah? - Pikiran Rakyat Depok - Pikiran Rakyat Depok #Covid #Covid19 https://t.co/LqbB7x2iSZ
1.5069E+18,#Moderna: Vaksin COVID-19 untuk Bayi Berhasil Diuji Coba - Zona Priangan - Zona Priangan #Covid #Covid19 https://t.co/o0sId2phYP
1.5069E+18,Benarkah Vaksin Moderna Terbukti Efektif Cegah Covid-19 Bergejala pada Anak Usia 6 Tahun ke Bawah? https://t.co/q7jqhLNv8C
1.50689E+18,Moderna Klaim Vaksin COVID-19 Aman dan Efektif Bagi Anak-anak https://t.co/9qCLIxWOpz
1.50689E+18,Moderna: Vaksin COVID-19 untuk Bayi Berhasil Diuji Coba https://t.co/Lp3MN3eWqZ
1.50685E+18,Moderna mengajukan izin penggunaan darurat vaksin bagi anak balita. Perusahaan ini kirimkan sejumlah data mengenai efektivitas vaksin Covid-19. https://t.co/ezW6nsLPBR
1.50683E+18,"Keberkesanan vaksin terhadap kanak-kanak enam bulan hingga dua tahun adalah 43.7% dan 37.5% bagi kumpulan umur dua hingga lima tahun.

#MalaysiaNow #MNow #MNowNews #Moderna #COVID 

https://t.co/MPspOjkG9E"
1.50683E+18,"Vaksin Moderna Covid untuk anak di bawah 6 tahun efektif hingga 44% terhadap infeksi omicron.

https://t.co/QjAMT7X85P"
1.50678E+18,"@null COVID-19: Moderna dakwa vaksin keluarannya berkesan terhadap bayi, kanak-kanak S  https://t.co/baRyryBW8W"
1.50666E+18,Moderna Upayakan Aturan Terkait Vaksin COVID untuk Anak di Bawah 6 Tahun https://t.co/ba8DYzzl2s #COVID19 #inovasi #Moderna #VaksinCOVID19 #VaksinModerna https://t.co/7hrvBMKkeT
1.50665E+18,"@AdamPrabata KIPI nya gimana , Dok? Masih ada harapan vaksin lain dalam waktu dekat ga yah? Selama ini ga pernah picky masalah vaksin covid, semua yg tersedia itu yg kami pakai. Tapi kalo buat anak pake Moderna, aku kok agak ga tegaa 😥"
1.50664E+18,"KABAR BAIK!

Vaksin Moderna dilaporkan terbukti efektif untuk anak usia 6 bulan hingga 6 tahun.

Efikasi untuk Omicron:
Usia 6 bln - 2 thn: 43,7%
Usia 2-6 thn: 37,5%

Tidak ada anak yang divaksin yg Covid-19 berat, rawat inap, atau meninggal.

Sumber:

https://t.co/dAk7HgpAzY"
1.50659E+18,"vaksin Coronavac, vaksin jadi buatan Sinovac asal Tiongkok, vaksin COVID-19, vaksin produksi Bio Farma dengan bahan baku dari Sinovac, vaksin AstraZeneca asal Inggris, vaksin Moderna dan Pfizer asal Amerika Serikat.

#IndonesiaSehatIndonesiaHebat"
1.50627E+18,"Ayo masyarakat Jepara, ikuti Vaksinasi Covid-19 untuk dosis 1, 2, dan 3, pada Rabu dan Kamis, 23-24 Maret 2022 di Pendopo Kalinyamat/Alit (depan SMP N 6 Jepara).

Jenis Vaksin Sinovac, Pfizer, Astrazeneca, dan Moderna.

Pelaksanaan Vaksinasi Covid-19 mulai pukul 08.00-11.00 WIB. https://t.co/Zl34TNESqi"
1.50626E+18,"Sebanyak 2.028 dosis vaksin COVID-19 di Kabupaten Aceh Barat, rusak serta kadaluarsa. Vaksin tersebut terdiri dari 588 vaksin moderna, yang sudah didistribusikan ke sejumlah fasilitas kesehatan sejak tahun 2021.

Selengkapnya:
https://t.co/40HohqZI9C https://t.co/hO3RsDKcc2"
1.50615E+18,Efek samping vaksin Moderna yang wajib kamu tahu sebelum vaksinasi Covid-19 https://t.co/RIMr8E3wnc
1.50614E+18,"Akhirnya dapet booster vaksin covid, kebetulan di RS persahabatan adanya lagi moderna. Yauds cuss!!!"
1.5061E+18,"Babinsa Koramil 13/Banyuputih Serda sigit melaksanakan pendampingan  Vaksinasi tahap 2 dengan jenis Vaksin Sinovac,Pfizer,Moderna dalam rangka Percepatan Vaksinasi Covid -19 bertempat di Aula Puskesmas Banyuputih . https://t.co/iV3d1RxD6U"
1.50577E+18,Pfizer &amp; Moderna Sebut Ini Saatnya Vaksin Booster Covid Kedua https://t.co/rK9Nj6gPbn
1.50506E+18,"Mereka dapet vaksin nya az apa moderna ya? Apa pfizer??

Gile sih.. w juga pake pfizer lemes nya ampun2an kek positif covid kemaren"
1.50502E+18,"Moderna Ajukan Otorisasi untuk Dosis Keempat Vaksin Covid-19 #koranjakarta #mondial #vaksinmoderna #covid19 #coronavirus #pandemicovid19

https://t.co/KcZiyZ8CW6"
1.50478E+18,"Dinas Kesehatan DKI telah menyediakan lokasi vaksinasi corona bagi warga Jakarta yang mendapatkan vaksin dosis 1 dan 2 dengan vaksin Moderna.

Di mana saja bisa dapat vaksin moderna di Jakarta? Cek https://t.co/XFx2oCNrEs

#kumparanMOM #MomsUpdate #Vaksinasi #Booster https://t.co/814bxm1UEs"
1.50475E+18,"Moderna minta FDA setujui vaksin Covid-19 dosis keempat
https://t.co/9b5DD6YHDW https://t.co/dTAxCUarKh"
1.50474E+18,hanifa alhamdulillah kebal sama efek samping vaksin covid hahaha tp jadi kepo sm yg moderna apakah saya akan kebal juga? 😆😆
1.50474E+18,Moderna Ajukan Izin Booster Tahap Kedua Vaksin Covid-19 https://t.co/c06mklmefw https://t.co/LptEaC8iWQ
1.50466E+18,Kanada setujui penggunaan vaksin COVID-19 Moderna untuk anak-anak https://t.co/GD84aamoJO https://t.co/GKsPeq32wE
1.50464E+18,"CEO syarikat Moderna, Stephane Bancel dilaporkan menjual pegangannya di dalam syarikat itu pada nilai $408 juta setelah saham syarikat itu mencanak naik sewaktu pandemik Covid-19

Vaksin Moderna antara vaksin yang popular digunakan di dunia bagi menangani krisis kesihatan ini https://t.co/wAeWOoxBUo"
1.50452E+18,Ya tapi anda sekeluarga akhirnya kena covid dg gejala berat di Bulan Maret 2022 setelah Anda dapat 2x vaksin Moderna kan? 😌😌. https://t.co/y5S3MqTghq
1.50435E+18,"Berdasarkan laporan keamanan vaksin COVID-19 dari Therapeutic Goods Administrations (TGA) Australia pada 10 Maret kemarin, Miokarditis merupakan efek samping, tetapi sangat jarang terjadi pada vaksin Pfizer dan Moderna.
@kemkominfo 
@PlateJohnny https://t.co/fMoNpwqr5N"
1.50435E+18,"Berdasarkan laporan keamanan vaksin COVID-19 dari Therapeutic Goods Administrations (TGA) Australia pada 10 Maret kemarin, Miokarditis merupakan efek samping, tetapi sangat jarang terjadi pada vaksin Pfizer dan Moderna.
@kemkominfo
@PlateJohnny
https://t.co/565fxuF4ru"
1.50433E+18,"Berdasarkan laporan keamanan vaksin COVID-19 dari Therapeutic Goods Administrations (TGA) Australia pada 10 Maret kemarin, Miokarditis merupakan efek samping, tetapi sangat jarang terjadi pada vaksin Pfizer dan Moderna
@PlateJohnny 
@kemkominfo 
https://t.co/HlYY3v8aym"
1.50432E+18,"Sahabat Digital

Berdasarkan laporan keamanan vaksin COVID-19 dari Therapeutic Goods Administrations (TGA) Australia pada 10 Maret kemarin, Miokarditis merupakan efek samping, tetapi sangat jarang terjadi pada vaksin Pfizer dan Moderna.

@kemkominfo 
@PlateJohnny https://t.co/XZ0XIRkJug"
1.50408E+18,Gerak Cepat Vaksinasi Covid-19 Dosis ke-3 (Moderna) Bagi Prajurit Koarmada I dan Masyarakat Umum https://t.co/jPynHVu0Xr
1.50406E+18,"Via @raratitihhh 💉Vaksin Covid 19
*mohon baca dengan teliti
*ada vaksin moderna

#vaksinmaret
#Samarinda https://t.co/Kzhq952pdS"
1.50406E+18,"Via @raratitihhh 💉Vaksin Covid 19
*mohon baca dengan teliti
*ada vaksin moderna

#vaksinmaret
#Samarinda https://t.co/l6FfMaR3yd"
1.50394E+18,"Ini Rumah Sakit dan Quota Tersedia Untuk Penerima Booster Vaksin Moderna https://t.co/HkbTqgB4nd 
#COVID19 #VaksinBooster #Moderna"
1.5039E+18,Ayok masyarakat Indonesia vaksin pakek moderna dan phizer supaya kebalan tubuh kita supaya kita sehat tidak kenak covid 19 ayok masyarakat Indonesia vaksinasi
1.50387E+18,"Ayo masyarakat Jepara, ikuti Vaksinasi Covid-19 untuk dosis 1, 2, dan 3, pada Rabu dan Kamis, 16-17 Maret 2022 di Pendopo Kalinyamat/Alit (depan SMP N 6 Jepara).

Jenis Vaksin Sinovac, Pfizer, Astrazeneca, dan Moderna.

Pelaksanaan Vaksinasi Covid-19 mulai pukul 08.00-11.00 WIB. https://t.co/MOO5zZ81zg"
1.50375E+18,Tetap Konsisten Laksanakan Percepatan Vaksinasi Covid-19 Dosis ke-3 (Moderna) Bagi Prajurit Koarmada I dan KBT https://t.co/15T79WqIKc
1.50373E+18,"Muladi mengaku dosis pertama dan kedua dirinya disuntik menggunakan vaksin Sinovac. Kemudian dosis ketiga, dirinya disuntik vaksin Pfizer. Selanjutnya, dosis keempat ia disuntik vaksin Covid-19 Moderna.  https://t.co/uSsEAz3mJq"
1.5037E+18,"COVID DAY 3 

Demam 
Sakit tekak
Cirit birit 
Pening + mual

Dh vaksin 2 dos Pfizer, 1 dos Moderna."
1.50351E+18,"Moderna memulai uji klinis fase 1 vaksin HIV yang menggunakan teknologi mRNA.

Teknologi mRNA sebelum digunakan untuk vaksin Covid19 memang dipersiapkan untuk vaksin HIV.

#InfoKesehatan"
1.50332E+18,Koarmada I Dorong Percepatan Vaksinasi Covid-19 Dosis ke-3 (Moderna) Bagi Prajurit Koarmada I https://t.co/M7XmQFr4iO
1.50329E+18,Koarmada I Dorong Percepatan Vaksinasi Covid-19 Dosis ke-3 (Moderna) Bagi Prajurit Koarmada I https://t.co/IyMxPreGsq
1.50328E+18,"Vaksinasi dosis ketiga (booster) terus digencarkan untuk menghadapi varian COVID-19.

@dinkesJKT
#BacadiBJ
#BeritaJakarta
#DKIJakarta
#VaksinBooster
#Moderna

https://t.co/hcnrjh6LYJ"
1.50328E+18,"Uji Vaksin Covid-19 Moderna di AS: 2,3 Ribu Orang Meninggal 
https://t.co/KRAHgTbVqQ"
1.50304E+18,Moderna mulai melakukan studi pengembangan vaksin booster untuk menggabungkan formulasi yang dirancang menangkis varian Omicron dengan vaksin COVID-19 yang sudah ada. Peserta pertama penelitian diberi suntikan eksperimental dalam studi tahap 2. https://t.co/7CaHYjOLZ1
1.50267E+18,Moderna memulai studi tentang vaksin booster yang menggabungkan formulasi yang dirancang untuk menangkis varian Omicron dengan vaksin COVID-19 yang sudah ada. https://t.co/v8sEZhDYGd
1.5024E+18,Pelayanan Vaksinasi Covid-19 Dosis ke-3 (Moderna) Bagi Prajurit Koarmada I https://t.co/0IeooEHkEM
