TweetID,tweet
1.50698E+18,Kabar baik! Vaksin Pfizer-BioNTech akan masuk ke Indonesia Agustus nanti. Vaksin COVID-19 ini termas... https://t.co/37K4rvSJxs
1.50698E+18,Pemprov DKI menyediakan berbagai jenis merek vaksin untuk vaksinasi booster Covid-19. Salah satu yang paling diminati masyarakat ialah merek Pfizer https://t.co/YlrtIv47DR
1.50696E+18,"@drpriono1 Saya mau divaksin booster asal vaksinnya halal dok, karena sudah tidak kena lagi asas darurat. Apalagi saya sudah 2x alumni covid dan 2x vaksin pfizer"
1.50679E+18,"Berikut Jadwal Vaksin Covid19 Kamis 24 Maret 2022.
Penting :
Booster Pfizer Hanya ada di Kantor Lurah Maphar dan Pos RW5 Tangki
Booster Astra Zeneca di Kantor Koramil Taman Sari

Pendaftaran On The Spot diLokasi, Wajib Membawa KTP (khusus di Pos Koramil wajib diFotocopy) https://t.co/PX5edrmZC5"
1.50659E+18,"vaksin Coronavac, vaksin jadi buatan Sinovac asal Tiongkok, vaksin COVID-19, vaksin produksi Bio Farma dengan bahan baku dari Sinovac, vaksin AstraZeneca asal Inggris, vaksin Moderna dan Pfizer asal Amerika Serikat.

#IndonesiaSehatIndonesiaHebat"
1.50649E+18,Pemberian dosis keempat (booster kedua) vaksin Covid-19 Pfizer tingkatkan antibodi. https://t.co/fZVqxDaNIc
1.5064E+18,"3 Tekno Berita Kemarin: Pesawat Boeing Jatuh di Cina, Vaksin Pfizer Obati Covid https://t.co/pJnhK0U9jD #TempoTekno"
1.50631E+18,"Gebrakan Vaksinasi Booster Covid-19 Pfizer, Danramil 02/Crg: Percepatan Herd Immunity"
1.50627E+18,"Ayo masyarakat Jepara, ikuti Vaksinasi Covid-19 untuk dosis 1, 2, dan 3, pada Rabu dan Kamis, 23-24 Maret 2022 di Pendopo Kalinyamat/Alit (depan SMP N 6 Jepara).

Jenis Vaksin Sinovac, Pfizer, Astrazeneca, dan Moderna.

Pelaksanaan Vaksinasi Covid-19 mulai pukul 08.00-11.00 WIB. https://t.co/Zl34TNESqi"
1.50627E+18,Kabar baik! Vaksin Pfizer-BioNTech akan masuk ke Indonesia Agustus nanti. Vaksin COVID-19 ini termas... https://t.co/37K4rvSJxs
1.50624E+18,"Selasa, 22/03/2022 pukul 07.30 Wib s.d selesai Kopda Agung Ariyadi Babinsa Ds Juwok Koramil-13/Sukodono, lakgiat pendampingan vaksinasi covid 19.Jenis Vaksin Pfizer Dosis 3 di Ds Juwok, tim Vaksinator dari Nakes Puskesmas Sukodono  peserta dosis I : 4 org dan dosis III : 76 org https://t.co/CNbAOJ5Wzc"
1.50621E+18,"📢🔉Sentra Vaksinasi Booster COVID-19 PonPes Minhajurrosiddin Lubang Buaya

Pendaftaran dibuka bagi untuk umum usia 18 tahun keatas.

💉Jenis Vaksin: Pfizer

Daftar sekarang di sini: https://t.co/jvms1SvroF https://t.co/hpO0Zg1CxW"
1.5062E+18,"- minimal 3 bulan (sebelum 24 Maret 2022 sudah genap pas 3 bulan atau vaksin dosis 2 diperoleh sebelum tg 24 Desember 2021)
3. Booster Pfizer digunakan untuk vaksin dosis primer Pfizer, Sinovac/CoronaVac dan AZ.
4. Bagi penyintas covid tanpa gejala atau gejala ringan dapat"
1.50617E+18,"Pada tanggal 21 Maret 2022, 14 anggota keluarga besar KBRI Antananarivo telah mendapatkan vaksin booster dengan Vaksin Janssen atau Vaksin Pfizer. Pemberian vaksin booster ini bertempat di Centre de Vaccination Covid Nations Unies. https://t.co/d6nYWlM8ls"
1.50614E+18,Penyelenggara menyediakan 500 dosis vaksin Covid-29 Pfizer setiap harinya. Kegiatan ini digelar untuk mempercepat capaian herd immunity. https://t.co/Og050nelR3
1.50613E+18,Vaksin Pfizer Berjaya Digunakan Untuk Memulihkan Pesakit Covid Buat Pertama Kali https://t.co/zkU2ZmvndO https://t.co/aCmaqwzAOy
1.50612E+18,Pria pengidap gangguan sistem imun sembuh Covid-19 setelah dapat vaksin Pfizer. https://t.co/sM0M6KO22x
1.50611E+18,"Kan kan ribet kan calon jemaah haji disuruh booster vaksin covid pada ntar2an skrg pada ribut minta dikoordinir vaksinnya kan krn mo brgkt.
Trus klo ngotot minta pfizer tapi vaksinnya gak ada tuh maunya gmn sihh🙃🙃🙃"
1.5061E+18,"Babinsa Koramil 13/Banyuputih Serda sigit melaksanakan pendampingan  Vaksinasi tahap 2 dengan jenis Vaksin Sinovac,Pfizer,Moderna dalam rangka Percepatan Vaksinasi Covid -19 bertempat di Aula Puskesmas Banyuputih . https://t.co/iV3d1RxD6U"
1.50605E+18,"@AswanaAktivix @StopPlandemit Mikirmu gak sampai kalo dikasih info ttg nanobot.
Kan otakmu dah keracun sama cairan vaksin. 
Dah fahami aja dulu 1000+ efek busuk cairan pfizer aja.. belum lagi cairan2 yg disebut vaksin covid dr produsen lain2. https://t.co/CX5fTS7z1Z"
1.50587E+18,"Wajar ga sih angkatan awal Covid-19 tu vaksin berkali-kali? ya vaksinya belum sempurna, belum kenal Covid-19 secara utuh. Kalo jaman anak gua masih vaksin berkali-kali tu baru gua pertanyakan RnD Pfizer, J&amp;J, PT. terawanFarma"
