TweetID,tweet
1.50659E+18,"Tapi, sekarang ada angin seger nih 👇

✅ Sinopharm resmi jadi vaksin booster!

(4/5)

https://t.co/tUtef0sfWF"
1.50659E+18,"Sinopharm itu harus Homolog (Kalo Vaksin Primernya Sinopharm, dosis selanjutnya harus sama) 
Nah beda sama Sinovac yang Heterolog (Vaksin primer sama booster boleh beda)

💉 Misalnya Vaksin primer kamu Sinovac, boosternya bisa pake Pfizer, AZ, Moderna, dan Sinopharm.

(2/5)"
1.50659E+18,"Banyak banget penerima Vaksin Gotong Royong yang ngeluh 👇

Ditolak booster karena vaksin dosis 1&amp;2 pake Sinopharm.

🤔 Emang apa salahnya ya pake Sinopharm? Kok orang mau booster malah ditolak-tolakin gini...

(1/5) https://t.co/5qNxzF32fw"
1.50651E+18,"Badan Pengawas Obat dan Makanan (BPOM) telah menyetujui penggunaan vaksin COVID-19 Sinopharm sebagai vaksin penguat (booster) atau dosis ketiga bagi warga berusia di atas 18 tahun, sebut Kepala BPOM Penny Lukito pada Selasa (22/3) https://t.co/luviYTswrS https://t.co/wtbEeV12ef"
1.50646E+18,"Update penanganan covid-19 di Indonesia BPOM Tetapkan vaksin sinopharm sebagai vaksin booster hererolog #BersatuLawanCovid19
#JagaProkesNvaksin
#IndonesiaSehatIndonesiaHebat
#NegeriPulihDenganVaksin"
1.50617E+18,"Ditetapkan BPOM Jadi Booster Covid-19, Begini Efek Samping Vaksin Sinopharm https://t.co/45lRP0DsAj"
1.50615E+18,Penerima Vaksin COVID Sinovac Kini Bisa Dapat Booster Sinopharm https://t.co/cBmCmF2P5k
1.5061E+18,"Ditetapkan BPOM Jadi Booster Covid-19, Begini Efek Samping Vaksin Sinopharm https://t.co/S1YxB9kp0F https://t.co/mrDFdwhFrG"
1.50609E+18,"Menurut survei Yusof Ishak Institute, mayoritas (35,1%) masyarakat RI lebih percaya pada vaksin Covid-19 merek Sinopharm dan Sinovac ketimbang merek lainnya. #Databoks https://t.co/OGC5HCsmOO"
1.50464E+18,"Sesuai ketentuan dari BPOM, vaksin COVID-19 Sinopharm sekarang sudah dapat diberikan secara heterolog dan homolog. Vaksin ini dapat diperoleh melalui mekanisme Vaksinasi Gotong Royong (VGR) dengan pendaftaran dilakukan oleh Perusahaan (Badan Hukum/Badan Usaha). https://t.co/0ZU8uy8Qlh"
1.50404E+18,Sehingga Sinopharm dapat menjadi pilihan vaksin booster bagi pegawai Bapak Ibu yang mendapatkan vaksin primer Sinovac untuk membantu meningkatkan kembali imunitas terhadap Covid-19.
1.50368E+18,"Hai Sahabat Kaef!
Program Vaksin Booster Sinopharm sangat mempermudah WNA menerima vaksin COVID-19.
WNA yang dapat didaftarkan pada program Vaksin Booster Sinopharm adalah WNA yang bekerja di Badan Hukum/Badan Usaha di Perusahaan. https://t.co/Wzqxcmgv0J"
1.50175E+18,"UPDATE VAKSIN COVID-19 BOOSTER

#SahabatBPOM, pada 2 Februari 2022 Badan POM memberikan persetujuan izin penggunaan darurat untuk tambahan regimen booster homolog pada vaksin COVID-19 yaitu Sinopharm. https://t.co/hyrz8REERb"
1.501E+18,"@kimiafarmaind Iya, kak, tapi jadwalnya ga cocok. Belum cukup jeda sejak + covid dan HRD ga bisa kasih info kapan ada lagi. Jadi untuk vaksin sinopharm ini ga bisa dateng (dan bayar) personal ke KF yang menyediakan ya?"
1.50069E+18,"Via @raratitihhh 💉Vaksin Covid 19 *HARI INI*
*AZ, Pfizer, Sinovac, Sinopharm dosis 1,2
*AZ dosis 1,2,3
📍Klinik Kusuma

*fyi, klinik kusuma bisa ready vaksin hampir tiap hari yaa, jadi bisa ke klinik yg bersangkutan 🙏

#vaksinmaret
#samarinda https://t.co/x0q64ybrvR"
1.50036E+18,"@gtmadeline aku sblm vaksin kena covid g ada gejala samsek CT 35 eh pas da vaksin sinopharm lngkp trus positif malah demam, nyeri sakit tenggorokan, lidah ilang rasa CT &lt;25 wkwk, ntah kbetulan apa g tp itu yg w rasakan :("
1.50008E+18,"Persetujuan EUA Vaksin Sinopharm ini menambah alternatif vaksin booster homolog untuk platform inactivated virus.

Mari tetap menerapkan protokol kesehatan dan menyukseskan vaksinasi sebagai upaya kunci dalam memutus rantai penyebaran COVID-19."
1.50008E+18,"Reposted from @bpom_ri UPDATE VAKSIN COVID-19 BOOSTER

#SahabatBPOM, pada 2 Februari 2022 Badan POM memberikan persetujuan izin penggunaan darurat untuk tambahan regimen booster homolog pada vaksin COVID-19 yaitu Sinopharm. https://t.co/25eGi6l7tn"
1.50006E+18,"#SahabatBPOM, pada 2 Februari 2022 Badan POM memberikan persetujuan izin penggunaan darurat untuk tambahan regimen booster homolog pada vaksin COVID-19 yaitu Sinopharm. https://t.co/9ZjVAKDDjm"
1.4996E+18,"@chrysantemom Emg di Indo udah ada pihak swasta yg nyediain jasa vaksin Covid-19 ya Mak?
Sinopharm saat ini juga dari pemerintah, setau sy"
1.49889E+18,"Resmi! Kemenkes Umumkan Sinopharm Jadi Vaksin Booster COVID-19: Sebelumnya, kabar mengenai Sinopharm jadi vaksin booster COVID-19 ini sudah lebih dulu diumumkan oleh Badan Pengawas Obat dan Makanan (BPOM) RI.  

The post Resmi! Kemenkes Umumkan Sinopharm… https://t.co/tD1YX4vSF4"
1.49885E+18,"Pemerintah resmi menambahkan regimen vaksin lanjutan atau booster Covid-19, yakni vaksin Sinopharm. Dengan demikian ada enam jenis regimen vaksin booster yang digunakan di Indonesia. https://t.co/Qo92cYdqtC"
1.49884E+18,"Pemerintah resmi menambahkan regimen vaksin lanjutan atau booster Covid-19, yakni vaksin Sinopharm. Dengan demikian ada enam jenis regimen vaksin booster yang digunakan di Indonesia.
@jokowi 
https://t.co/F5sFJ1eLYg"
1.49884E+18,"Pemerintah @jokowi resmi menambahkan regimen vaksin lanjutan atau booster Covid-19, yakni vaksin Sinopharm. Dengan demikian ada enam jenis regimen vaksin booster yang digunakan di Indonesia.
https://t.co/jTLKQZZMH4 https://t.co/d5eL8p46SU"
1.49863E+18,"Vaksin Covid-19 Sinopharm telah resmi ditambahkan ke dalam daftar booster yang digunakan di Indonesia. 

https://t.co/J8nBlO4b8N

#VaksinBooster #Corona #coronavirus"
1.49853E+18,"Pemerintah resmi menambahkan regimen vaksin lanjutan atau booster Covid-19, yakni vaksin Sinopharm. Dengan demikian ada enam jenis regimen vaksin booster yang digunakan di Indonesia.
@jokowi 
https://t.co/rZlbOP9LEc https://t.co/UWjxxYfNzy"
1.49853E+18,"Pemerintah resmi menambahkan regimen vaksin lanjutan atau booster Covid-19, yakni vaksin Sinopharm. Dengan demikian ada enam jenis regimen vaksin booster yang digunakan di Indonesia.

https://t.co/72E9ouPQUC @jokowi"
1.49852E+18,"Tambah Sinopharm, Ini Enam Vaksin Covid-19 Booster yang Digunakan di Indonesia
 
https://t.co/7LTjBhsoGX lewat @wartakotalive"
1.4985E+18,"Pemerintah telah resmi menambahkan regimen vaksin booster Covid-19, yakni vaksin Sinopharm. Seperti apa efek samping vaksin booster Sinopharm? https://t.co/BrxG11u0g2"
