raw,clean
"@cowokberkemeja @iwanjanuarcom Emangnya lo bayar vaksin?? Lo mati karna corona jg negara yg bayar, beliin peti mati sama plastik kafan.",memang kamu bayar vaksin kamu mati karena corona juga negara yang bayar beli peti mati sama plastik kafan
"Harga pakej vaksin dekat hospital anak. Bila buat kira-kira tak banyak sangat beza dengan bayar by appointment.

saya tanya doktor beza PCV10 dan PCV13?  Generally sama sahaja, 

PCV10 (gsk)
PCV13 (Pfizer)

Samalah mcm ambil covid punya vaksin, ada astrazaneca brand lain. https://t.co/X9g63kfFan",harga pakej vaksin dekat hospital anak bila buat kira kira tidak banyak sangat beza dengan bayar by appointment saya tanya doktor beza pcv dan pcv generally sama sahaja pcv gsk pcv pfizer sama macam ambil covid punya vaksin ada astrazaneca brand lain
"@Ericyourbae @tm_endik @Lavedae @ProfesorZubairi Elo ga bayar pajak seh!! Hh... 
Ini nih klo mindsetnya muter2 di tempat doang... Ga baca elo tong rentetan soal  covid19 ini selain vaksin? Ada antigen, ada PCR..hayulah byk2 literasi siapa yg menguasai bisnis busuk ini??",lo enggak bayar pajak sih hh ini ini kalo mindsetnya muter di tempat doang enggak baca lo tong rentet soal covid ini selain vaksin ada antigen ada pcr hayulah banyak literasi siapa yang kuasa bisnis busuk ini
"@SBSembiring @CNNIndonesia @Kemenag_RI @Kemendag Vaksin gratis, Pengobatan covid dllnya gratis itu karena yang bayar APBN
Pak mana ada yg gratis, pipis ajja bayar 2 rebu 😎",vaksin gratis obat covid dllnya gratis itu karena yang bayar apbn pak mana ada yang gratis pipis saja bayar rebu
"@reza_nukleuz @Hilmi28 Pengobatan covid apa bre, Rumah sakit dihutang, nakes ada yg blm dibayar, bansos di korup, PCR dan antigen bayar, vaksin dpt hibahan, jd duit nya pd kmana kok bsa ga ada duit...???",obat covid apa bre rumah sakit hutang tenaga sehat ada yang belum bayar bansos di korupsi pcr dan antigen bayar vaksin dapat hibah jadi duit nya pada mana kok bisa enggak ada duit
"@dayatia Biarkan saja,org yg ga mau di vaksin gapapa,asal konsekwen kalo kena virus covid obat dan RS nya bayar sendiri",biar saja orang yang enggak mau di vaksin gapapa asal konsekwen jika kena virus covid obat dan rs nya bayar sendiri
@di_ponegoro @dayatia Memang ada vaksin covid yg bayar?,memang ada vaksin covid yang bayar
"motivasi terkuat cepet-cepet vaksin booster 3:
- biar imun kuat dan minim risiko tertular covid ❌
- biar kalo pergi luar kota ga bayar PCR/antigen ✅✅✅✅✅ https://t.co/PVWRn5hfGH",motivasi kuat cepat cepat vaksin booster supaya imun kuat dan minim risiko tular covid supaya jika pergi luar kota enggak bayar pcr antigen
"Syarat bayar pajak itu : 
1.Harus sudah divaksin covid.
2.Sudah punya kartu BPJS,
Klw belum vaksin dan gak punya kartu BPJS gak bisa bayar pajak,,gitu ya Pung?. https://t.co/dUWt1zLRUs",syarat bayar pajak itu harus sudah vaksin covid sudah punya kartu bpjs kalau belum vaksin dan enggak punya kartu bpjs enggak bisa bayar pajak begitu iya pung
"@kimiafarmaind Iya, kak, tapi jadwalnya ga cocok. Belum cukup jeda sejak + covid dan HRD ga bisa kasih info kapan ada lagi. Jadi untuk vaksin sinopharm ini ga bisa dateng (dan bayar) personal ke KF yang menyediakan ya?",iya kak tapi jadwal enggak cocok belum cukup jeda sejak covid dan hrd enggak bisa kasih informasi kapan ada lagi jadi untuk vaksin sinopharm ini enggak bisa datang dan bayar personal ke kf yang sedia iya
