raw,clean,labels
"Sampai dengan awal bulan Juli 2021 lalu, Badan POM telah menerbitkan EUA untuk 5 (lima) jenis vaksin, yaitu : CoronaVac dari Sinovac Life Science China, Vaksin COVID-19 yang diproduksi Bio Farma menggunakan bulk yang didapatkan dari Sinovac Life Science China,",sampai dengan awal bulan juli lalu badan pom telah terbit eua untuk lima jenis vaksin yaitu coronavac dari sinovac life science china vaksin covid yang produksi bio farma guna bulk yang dapat dari sinovac life science china,1
"@drspology Gunanya buat mempercepat antibodi tubuh untuk memperkebal. kenapa nggak langsung vaksin dalam dosis besar? Nahh  ini gue jawab yang kedua, partikel dalam vaksin sinovac itu sebenernya virus yang di lemahkan. Virus ini dia menyerupai virus covid bentuknya dalam versi baik.",guna buat cepat antibodi tubuh untuk kebal kenapa enggak langsung vaksin dalam dosis besar nah ini aku jawab yang dua partikel dalam vaksin sinovac itu benar virus yang di lemah virus ini dia rupa virus covid bentuk dalam versi baik,1
Doktor @DrAmalinaBakri apa kesannya pada seseorang itu sekiranya dia menerima Dos Vaksin COvid 19 yang berbeza? Cth : 1st dos Pfizer. 2nd dos Sinovac. Dan penerima adalah warga emas. Mohon penjelasan doktor. Terima kasih. #KKM #COVIDVaccination @Khairykj,doktor apa kesan pada orang itu sekira dia terima dos vaksin covid yang berbeza cth st dos pfizer indak dos sinovac dan terima adalah warga emas mohon jelas doktor terima kasih,1
@detikcom Kalo efektivitas vaksin Sinovac Dipertanyakan kenapa harus beli Sinovac  kalo Vaksin Covid 19 yang Disetujui WHO adalah Pfizer dan Astrazeneca Asal Inggris itu pasti sudah terbilang aman dipenuhi,jika efektivitas vaksin sinovac tanya kenapa harus beli sinovac jika vaksin covid yang tuju who adalah pfizer dan astrazeneca asal inggris itu pasti sudah bilang aman penuh,1
"Vaksinasi adalah perbuatan pemerintah bagi masyarakat untuk bisa selamat pada Pandemi Covid-19. Sehingga akses Vaksin sama pada semua pihak, jangan diskriminasi dgn #dagangvaksin 
Terkait² alasan yang dikemukakan sepatutnya tidak dilanjutkan, shg Vaksin tetap gratis.",vaksinasi adalah buat perintah bagi masyarakat untuk bisa selamat pada pandemi covid sehingga akses vaksin sama pada semua pihak jangan diskriminasi dengan kait alas yang muka patut tidak lanjut sehingga vaksin tetap gratis,1
"Kesebelas vaksin COVID-19 itu di antaranya adalah Sinovac, vaksin COVID-19 PT Bio Farma, AstraZeneca, Sinopharm, Moderna, Pfizer, Sputnik V, Zifivax, Janssen, Convidecia dan Covovax.",sebelas vaksin covid itu di antara adalah sinovac vaksin covid pt bio farma astrazeneca sinopharm moderna pfizer sputnik zifivax jangan en convidecia dan covovax,1
"Kedatangan vaksin AstraZeneca ini adalah salah satu bentuk kerja sama Pemerintah Indonesia sejak Oktober 2020, bersama Covid-19 Covax yang merupakan inisiatif global yang ditujukan untuk kesetaraan akses dalam mendapatkan vaksin Covid-19.",datang vaksin astrazeneca ini adalah salah satu bentuk kerja sama perintah indonesia sejak oktober sama covid covax yang rupa inisiatif global yang tuju untuk tara akses dalam dapat vaksin covid,1
"Pemerintah menghentikan vaksin Corona AstraZeneca batch CTMAV547 menyusul uji toksisitas dan sterilitas oleh BPOM. Ini dilakukan sebagai langkah kehati-hatian.

HEHEHEHEHEH... HEHEHEH... PEDUT ACKH",perintah henti vaksin corona astrazeneca batch ctmav susul uji toksisitas dan sterilitas oleh bpom ini laku bagai langkah hati hati heheheheheh heheheh pedut ackh,0
"Setelah vaksinasi, angka kasus Covid-19 di Inggris menurun tajam. Apakah ini pertanda bahwa vaksin Pfizer ampuh untuk mengatasi pandemi? 

#COVID19 #PfizerVaccine",telah vaksinasi angka kasus covid di inggris turun tajam apakah ini tanda bahwa vaksin pfizer ampuh untuk atas pandemi,1
"@yovansyach @DPyul @BadmintonTalk vaksin yg terbaik saat ini hanyalah vaksin yg tersedia

setidaknya kalo lu udh disuntik sinovac, lu gak ngerasa sakit dan gak perlu ke rumah sakit klo lu kena covid

ya skali lagi, itu trgantung kondisi tubuh, org yg udh disuntik pfizer atau moderna aja masih ada yg masuk ICU :)",vaksin yang baik saat ini hanya vaksin yang sedia tidak jika kamu sudah suntik sinovac kamu enggak rasa sakit dan enggak perlu ke rumah sakit kalo kamu kena covid iya sekali lagi itu trgantung kondisi tubuh orang yang sudah suntik pfizer atau moderna saja masih ada yang masuk icu,1
