,raw,clean,prediction
0,"@cowokberkemeja @iwanjanuarcom Emangnya lo bayar vaksin?? Lo mati karna corona jg negara yg bayar, beliin peti mati sama plastik kafan.",memang kamu bayar vaksin kamu mati karena corona juga negara yang bayar beli peti mati sama plastik kafan,0
1,"@Ericyourbae @tm_endik @Lavedae @ProfesorZubairi Elo ga bayar pajak seh!! Hh... 
Ini nih klo mindsetnya muter2 di tempat doang... Ga baca elo tong rentetan soal  covid19 ini selain vaksin? Ada antigen, ada PCR..hayulah byk2 literasi siapa yg menguasai bisnis busuk ini??",lo enggak bayar pajak sih hh ini ini kalo mindsetnya muter di tempat doang enggak baca lo tong rentet soal covid ini selain vaksin ada antigen ada pcr hayulah banyak literasi siapa yang kuasa bisnis busuk ini,0
2,"@SBSembiring @CNNIndonesia @Kemenag_RI @Kemendag Vaksin gratis, Pengobatan covid dllnya gratis itu karena yang bayar APBN
Pak mana ada yg gratis, pipis ajja bayar 2 rebu 😎",vaksin gratis obat covid dllnya gratis itu karena yang bayar apbn pak mana ada yang gratis pipis saja bayar rebu,0
3,"@reza_nukleuz @Hilmi28 Pengobatan covid apa bre, Rumah sakit dihutang, nakes ada yg blm dibayar, bansos di korup, PCR dan antigen bayar, vaksin dpt hibahan, jd duit nya pd kmana kok bsa ga ada duit...???",obat covid apa bre rumah sakit hutang tenaga sehat ada yang belum bayar bansos di korupsi pcr dan antigen bayar vaksin dapat hibah jadi duit nya pada mana kok bisa enggak ada duit,0
4,"@dayatia Biarkan saja,org yg ga mau di vaksin gapapa,asal konsekwen kalo kena virus covid obat dan RS nya bayar sendiri",biar saja orang yang enggak mau di vaksin gapapa asal konsekwen jika kena virus covid obat dan rs nya bayar sendiri,0
5,@di_ponegoro @dayatia Memang ada vaksin covid yg bayar?,memang ada vaksin covid yang bayar,1
6,"@kimiafarmaind Iya, kak, tapi jadwalnya ga cocok. Belum cukup jeda sejak + covid dan HRD ga bisa kasih info kapan ada lagi. Jadi untuk vaksin sinopharm ini ga bisa dateng (dan bayar) personal ke KF yang menyediakan ya?",iya kak tapi jadwal enggak cocok belum cukup jeda sejak covid dan hrd enggak bisa kasih informasi kapan ada lagi jadi untuk vaksin sinopharm ini enggak bisa datang dan bayar personal ke kf yang sedia iya,0
7,"@SisiwittFrida Lahh nslh pandemi covid 19 siapa yg bisa mengelak ibu..? Negara super power aja sempat goncang dibuatnya. Apalagi seperti Indonesia yg hanya sebagai negara berkembang. Apalgi rakyatnya yg sebagian pada tolol disuruh vaksin aja banyak yg tdk mau. Padahal gratis,gimana kalau bayar.",lah nslh pandemi covid siapa yang bisa elak ibu negara super power saja sempat goncang buat apalagi seperti indonesia yang hanya bagai negara kembang apalagi rakyat yang bagi pada tolol suruh vaksin saja banyak yang tidak mau padahal gratis bagaimana kalau bayar,0
8,"Yaudala ya yang penting kita bisa terbang, test antigen aje dah bayar tuh antigen seoranh 200 rebay perorang, eh taunya anak dibawah 12 tahun harus PCR juga bos. Anak kita masi dibawah 2 tahun tetep juga PCR soalnya dia belom vaksin covid yaiyala dibawah 2 tahun bos.",yaudala iya yang penting kita bisa terbang test antigen saja deh bayar itu antigen seoranh rebay orang eh tau anak bawah tahun harus pcr juga bos anak kita masih bawah tahun tetap juga pcr soal dia belum vaksin covid yaiyala bawah tahun bos,1
9,Indonesia kapan ga berlakukan karantina lg utk kedatangan internasional? Mending aq bayar vaksin covid drpd duit habis bayar hotel karantina. Mending pake masker 5 lapis bawa hand sanitizer 1 derijen kemana2 drpd karantina. Malesin.,indonesia kapan enggak laku karantina lagi untuk datang internasional lebih baik aku bayar vaksin covid daripada duit habis bayar hotel karantina lebih baik pakai masker lapis bawa hand sanitizer derijen mana daripada karantina malesin,0
10,"@dr_koko28 Sekarang nutrisi yg salahin...
Stop sebar ketakutan soal covid
Stop mendewa2kan vaksin sebagai solusi mengatasi covid
Cukupi kebutuhan masyarakat, gembirakan mereka ...
Imun naik g mudah sakit, negara g perlu bayar mahal untuk vaksin.. kcuali emang DAGANG",sekarang nutrisi yang salah stop sebar takut soal covid stop dewa kan vaksin bagai solusi atas covid cukup butuh masyarakat gembira mereka imun naik mudah sakit negara perlu bayar mahal untuk vaksin kcuali memang dagang,0
11,"@republikaonline Sekarang itu yang bikin ribet aturannya, 
Sudah vaksin terus kena covid harus isoman 14 hari, eh perusHaN ada yang bayar gaji setengah bahkan ada yang enggk bayar sama sekali,
Terus pemerintah kemana? 
Solusinya apa?",sekarang itu yang buat ribet atur sudah vaksin terus kena covid harus isoman hari eh perushan ada yang bayar gaji tengah bahkan ada yang enggk bayar sama sekali terus perintah mana solusi apa,0
12,"@rrasyid34 @KetutRis @ismailhasan13 @pirenaningsih @blogdokter Padahal vaksin korona juga gratis, apa lagi klo bayar 🤣🤣",padahal vaksin korona juga gratis apa lagi kalo bayar,0
13,"Pemerintah selalu berkata untuk melawan covid supaya vaksinasi, taat prokes, kurangi mobilitas, sama halnya anjuran supaya bayar pajak tepat pada waktunya, rakyat tidak butuh retorika, rakyat butuh bukti nyata.",perintah selalu kata untuk lawan covid supaya vaksinasi taat prokes kurang mobilitas sama hal anjur supaya bayar pajak tepat pada waktu rakyat tidak butuh retorika rakyat butuh bukti nyata,0
14,"@Yani03495310 @OposisiCerdas Coba jelaskan seberapa hancur Corona buat Indonesia,saya gak tanya luar negeri,lalu bagaimana penyelesaian vaksin Mulu gak ada habisnya uang sape tu xg buat bayar gak usah ngaku uang sapa kalau paham IQ Anda tinggi",coba jelas berapa hancur corona buat indonesia saya enggak tanya luar negeri lalu bagaimana selesai vaksin terus enggak ada habis uang sape itu xg buat bayar enggak perlu aku uang sapa kalau paham aku anda tinggi,0
15,"@DoddyMaxell @Oming72494594 @WangResa @jansen_jsp Pola berfikir elu aja salah kok bilang orang bodoh.

Vaksin covid gratis?
Itu yg bayar negara. 
Negara bayar pake pajak yg di pungut dari yg vaksin maupun yang menolak vaksin.

Trus yg bodoh siapa?",pola pikir lu saja salah kok bilang orang bodoh vaksin covid gratis itu yang bayar negara negara bayar pakai pajak yang di pungut dari yang vaksin maupun yang tolak vaksin terus yang bodoh siapa,0
16,"Makmur para pemain bisnis vaksin Covid dan bisnis terkait dengan covid..
Cukup bayar segelintir ANJING buat pengalihan isu.. isu agama isu SARA yg paling mudah memicu nalar2 dangkal ikut2 meramaikan...
Demikian dan salam Brekekekekekkekek",makmur para main bisnis vaksin covid dan bisnis kait dengan covid cukup bayar gelintir anjing buat alih isu isu agama isu sara yang paling mudah picu nalar dangkal ikut ramai demikian dan salam brekekekekekkekek,1
17,"@rahardianhadi07 @DRespati3 Yoi... 
Harusnya cuma yg pro pemerintah doang yg dapat fasilitas 3x vaksin gratis.

Trus yg suka kritik dan menghina pemerintah hrusnya gk dpt vaksin gratis tp harus bayar masing2..

Anehnya KADRUN gk tau diri, coba klo mrk gk d vaksin atau kena covid trs sakit ya bisa mati the",ya harus cuma yang profesional perintah doang yang dapat fasilitas vaksin gratis terus yang suka kritik dan hina perintah harus enggak dapat vaksin gratis tapi harus bayar masing aneh kadrun enggak tahu diri coba kalo mereka enggak vaksin atau kena covid terus sakit iya bisa mati the,1
18,"@detikcom Asal sudah vaksin 2x
Sudah saatnya test covid untuk penerbangan lokal dan KA dihentikan.
Ga masuk akal harus bayar untuk sesuatu yg menyakiti diri sendiri",asal sudah vaksin sudah saat test covid untuk terbang lokal dan kak henti enggak masuk akal harus bayar untuk sesuatu yang sakit diri sendiri,0
19,"@sudah_vaksinke2 @Nugroho_Wiwoko @anaqembar @prayuyal @CNNIndonesia Kalo positif kena Covid kn gratis. Gk byr sepeserpun. Bayar administrasi aja nggak. Thn lalu sy dirawat 10 hari kena Delta. Gratis. Alhamdulilah selamat. Om &amp; nenek sy gamau vaksin, kena jg &amp; skrg almarhum.",jika positif kena covid kan gratis enggak bayar peser bayar administrasi saja enggak tahun lalu saya rawat hari kena delta gratis alhamdulilah selamat om amp nenek saya enggak mau vaksin kena juga amp sekarang almarhum,0
20,"@cnbcindonesia Pasti karna vaksin untuk pandemi udah siap diriset dan diproduksi jadi habis covid terbitlah kopit dan tiap orang harus bayar untuk bernafas...ah udah ketahuan lah, ini memang isu over populasi",pasti karena vaksin untuk pandemi sudah siap riset dan produksi jadi habis covid terbit kopit dan tiap orang harus bayar untuk nafas ah sudah tahu lah ini memang isu over populasi,1
21,"ada gitu orang vaksin suruh bayar? kalopun secara teori konspirasi covid itu bisnis alat dan vaksin, dengan dibagiinnya vaksin gratis sama pemerintah, pemerintah juga udah nolongin rakyatnya dari yg katanya ""bisnis"" ini.",ada begitu orang vaksin suruh bayar kalo cara teori konspirasi covid itu bisnis alat dan vaksin dengan dibagiinnya vaksin gratis sama perintah perintah juga sudah tolong rakyat dari yang kata bisnis ini,0
