,raw,clean,prediction
0,@AbdulGaniJkt @tvOneNews Kalau vaksin efektif kenapa takut pada OTG? jika tidak efektif menangkal covid kenapa harus vaksin?,kalau vaksin efektif kenapa takut pada otg jika tidak efektif tangkal covid kenapa harus vaksin,0
1,@kris_rosari vaksin aman dan efektif meminimalisir potensi tertular covid19,vaksin aman dan efektif meminimalisir potensi tular covid,1
2,"Dipenelitian yang sama, tertulis, kalau orang yang udah terinfeksi Covid 19 dan Vaksin, baik vaksin dulu terus terinfeksi atau sebaliknya, lebih efektif menetralisir covid 19 dari pada antibodi yang dihasilkan dari terinfeksi saja.",teliti yang sama tulis kalau orang yang sudah infeksi covid dan vaksin baik vaksin dulu terus infeksi atau balik lebih efektif menetralisir covid dari pada antibodi yang hasil dari infeksi saja,0
3,"Namun dengan disuntikan nya vaksin Covid-19 saat ini masih efektif mencegah gejala berat dan kematian.

“Tujuan vaksin salah satunya adalah mencegah agar tidak tertular (Covid-19), tapi kan tidak ada jaminan seratus persen menjadi kebal,” tegas Mbak Ita.",namun dengan sunti nya vaksin covid saat ini masih efektif cegah gejala berat dan mati tuju vaksin salah satu adalah cegah agar tidak tular covid tapi kan tidak ada jamin ratus persen jadi kebal tegas mbak ita,0
4,@Gianminrea vaksin efektif meminimalisir potensi tertular Corona,vaksin efektif meminimalisir potensi tular corona,1
5,"@faatihadiy @timbang_lego @Boedyzr27 @ProfesorZubairi Kalo vaksin2 itu efektif, kalo vaksin covid gak ngaruh.",jika vaksin itu efektif jika vaksin covid enggak pengaruh,1
6,@wingkyp @reflection_8_ Sama. Covid dan variannya sudah berubah2 dan terbukti vaksin tidak efektif. Terutama di sekitar ku.,sama covid dan varian sudah ubah dan bukti vaksin tidak efektif utama di sekitar ku,1
7,"1. Langkah Pertama, Menghadapi peralihan dari pandemi ke endemi adalah vaksinasi yang efektif.

2. Langkah Kedua, Mengelola Covid-19 menjadi penyakit musiman. Idris menilai, Hal ini sebagaimana diungkapkan Kementerian Kesehatan menjadikan Covid-19 layaknya flu biasa.",langkah pertama hadap alih dari pandemi ke endemi adalah vaksinasi yang efektif langkah dua kelola covid jadi sakit musim idris nilai hal ini bagaimana ungkap menteri sehat jadi covid layak flu biasa,0
8,@nafisnba Kebodohan yang supreme adalah pabila dah vaksin tapi tetap kena covid 19..Tapi still Kata vaksin efektif..Otak hang letak mana ye..Maaf Kerana kasar.Namun inilah realiti Dari seorang antivaksin..,bodoh yang supreme adalah pabila deh vaksin tapi tetap kena covid tapi masih kata vaksin efektif otak hang letak mana ye maaf rana kasar namun ini realiti dari orang antivaksin,0
9,"@taudahngantuk @mendinganjangan @dianydinooot @Mazdalani @Heraloebss Kamu itu ngomong gak pake mikir, mencegah ya masih berkemungkinan kena, tapi dngn peluang yg kecil kecuali vaksinnya tdk efektif. Tapi mencegah tdk sama dngn mengurangi keparahan ...mikirlah woi....terbukti vaksin covid tdk efektif, &amp; narasi mengurangi keparahan dijadikan alibi..",kamu itu omong enggak pakai mikir cegah iya masih mungkin kena tapi dengan peluang yang kecil kecuali vaksin tidak efektif tapi cegah tidak sama dengan kurang parah mikirlah woi bukti vaksin covid tidak efektif amp narasi kurang parah jadi alibi,0
