,raw,clean,prediction
0,"Sinopharm itu harus Homolog (Kalo Vaksin Primernya Sinopharm, dosis selanjutnya harus sama) 
Nah beda sama Sinovac yang Heterolog (Vaksin primer sama booster boleh beda)

💉 Misalnya Vaksin primer kamu Sinovac, boosternya bisa pake Pfizer, AZ, Moderna, dan Sinopharm.

(2/5)",sinopharm itu harus homolog jika vaksin primer sinopharm dosis lanjut harus sama nah beda sama sinovac yang heterolog vaksin primer sama booster boleh beda misal vaksin primer kamu sinovac boosternya bisa pakai pfizer az moderna dan sinopharm,1
1,"Update penanganan covid-19 di Indonesia BPOM Tetapkan vaksin sinopharm sebagai vaksin booster hererolog #BersatuLawanCovid19
#JagaProkesNvaksin
#IndonesiaSehatIndonesiaHebat
#NegeriPulihDenganVaksin",update tangan covid di indonesia bpom tetap vaksin sinopharm bagai vaksin booster hererolog,1
2,Sehingga Sinopharm dapat menjadi pilihan vaksin booster bagi pegawai Bapak Ibu yang mendapatkan vaksin primer Sinovac untuk membantu meningkatkan kembali imunitas terhadap Covid-19.,sehingga sinopharm dapat jadi pilih vaksin booster bagi pegawai bapak ibu yang dapat vaksin primer sinovac untuk bantu tingkat kembali imunitas hadap covid,1
3,"@kimiafarmaind Iya, kak, tapi jadwalnya ga cocok. Belum cukup jeda sejak + covid dan HRD ga bisa kasih info kapan ada lagi. Jadi untuk vaksin sinopharm ini ga bisa dateng (dan bayar) personal ke KF yang menyediakan ya?",iya kak tapi jadwal enggak cocok belum cukup jeda sejak covid dan hrd enggak bisa kasih informasi kapan ada lagi jadi untuk vaksin sinopharm ini enggak bisa datang dan bayar personal ke kf yang sedia iya,0
4,"@gtmadeline aku sblm vaksin kena covid g ada gejala samsek CT 35 eh pas da vaksin sinopharm lngkp trus positif malah demam, nyeri sakit tenggorokan, lidah ilang rasa CT &lt;25 wkwk, ntah kbetulan apa g tp itu yg w rasakan :(",saya belum vaksin kena covid ada gejala sama sekali ct eh pas sudah vaksin sinopharm lengkap terus positif bahkan demam nyeri sakit tenggorok lidah hilang rasa ct lantai wkwk entah betul apa tapi itu yang rasa,0
5,"Persetujuan EUA Vaksin Sinopharm ini menambah alternatif vaksin booster homolog untuk platform inactivated virus.

Mari tetap menerapkan protokol kesehatan dan menyukseskan vaksinasi sebagai upaya kunci dalam memutus rantai penyebaran COVID-19.",tuju eua vaksin sinopharm ini tambah alternatif vaksin booster homolog untuk platform inactivated virus mari tetap terap protokol sehat dan sukses vaksinasi bagai upaya kunci dalam putus rantai sebar covid,1
6,"@chrysantemom Emg di Indo udah ada pihak swasta yg nyediain jasa vaksin Covid-19 ya Mak?
Sinopharm saat ini juga dari pemerintah, setau sy",memang di indonesia sudah ada pihak swasta yang nyediain jasa vaksin covid iya ibu sinopharm saat ini juga dari perintah tau saya,1
7,"Kata Erick, vaksin lanjutan atau booster Sinopharm ini bertujuan untuk membantu
percepatan program vaksinasi yang telah dicanangkan pemerintah sebagai bagian dari
penanggulangan Covid-19.",kata erick vaksin lanjut atau booster sinopharm ini tuju untuk bantu cepat program vaksinasi yang telah canang perintah bagai bagi dari tanggulang covid,1
8,"banyak tempat vaksinasi, tapi semua tidak memperbolehkan untuk yang vaksin pertama dan kedua menggunakan sinopharm. keburu kena covid lagi ini.",banyak tempat vaksinasi tapi semua tidak boleh untuk yang vaksin pertama dan dua guna sinopharm lanjur kena covid lagi ini,0
9,"Senarai vaksin Covid-19 yang diiktiraf (yang kita dapat di Malaysia): 

- AZ Vaxzeria
- AZ COVISHIELD
- Pfizer
- Sinovac
- Sinopharm 
- Johnson - Johnson

Mesti lepas 7 hari selepas dapat dose kedua (all except J&amp;J)",senarai vaksin covid yang iktiraf yang kita dapat di malaysia az vaxzeria az covishield pfizer sinovac sinopharm johnson johnson mesti lepas hari lepas dapat dose dua all except amp,1
10,Badan POM telah melakukan evaluasi terhadap aspek khasiat dan keamanan mengacu pada standar evaluasi vaksin Covid-19 untuk vaksin Sinopharm sebagai dosis booster homolog untuk dewasa 18 tahun ke atas.,badan pom telah laku evaluasi hadap aspek khasiat dan aman acu pada standar evaluasi vaksin covid untuk vaksin sinopharm bagai dosis booster homolog untuk dewasa tahun ke atas,1
11,Pak @jokowi sy peserta vaksin gotongroyong (Sinopharm) &amp; ada tiket booster tp di pedulilindungi u/ Sinopharm nunggu arahan pemerintah.Kasus Covid meningkat &amp; booster gratis tersebar tp Sinopharm gak bs.Jgn yg pake Sinopharm boosternya vaksin Cina lagi!Gak laku u/ ke negara2 lain!,pak saya serta vaksin gotongroyong sinopharm amp ada tiket booster tapi di pedulilindungi sinopharm tunggu arah perintah kasus covid tingkat amp booster gratis sebar tapi sinopharm enggak bisa jangan yang pakai sinopharm boosternya vaksin cina lagi enggak laku ke negara lain,1
12,@PLindungi sy peserta vaksin gotongroyong (Sinopharm) &amp; ada tiket booster tp di pedulilindungi u/ Sinopharm nunggu arahan pemerintah.Kasus Covid meningkat &amp; booster gratis tersebar tp Sinopharm gak bs.Jgn yg pake Sinopharm boosternya vaksin Cina lagi!Gak laku u/ ke negara2 lain!,saya serta vaksin gotongroyong sinopharm amp ada tiket booster tapi di pedulilindungi sinopharm tunggu arah perintah kasus covid tingkat amp booster gratis sebar tapi sinopharm enggak bisa jangan yang pakai sinopharm boosternya vaksin cina lagi enggak laku ke negara lain,0
13,"Artinya, Vaksin Sinopharm resmi menjadi Vaksin COVID-19 ke-6 yang dapat digunakan sebagai Vaksin booster.

Nah untuk informasi selengkapnya bisa langsung simak infografis di atas. 

#VaksinBooster
#AyoVaksin
#JogjaElingLanWaspada
#COVID19",arti vaksin sinopharm resmi jadi vaksin covid ke yang dapat guna bagai vaksin booster nah untuk informasi lengkap bisa langsung simak infografis di atas,1
14,Vaksin Sinopharm telah resmi menjadi vaksin COVID-19 ke-6 yang digunakan sebagai dosis booster atau dosis lanjutan setelah memperoleh Izin Penggunaan Darurat (Emergency Use Authorization/EUA) dari Badan POM.,vaksin sinopharm telah resmi jadi vaksin covid ke yang guna bagai dosis booster atau dosis lanjut telah oleh izin guna darurat emergency use authorization eua dari badan pom,1
15,"sumpah gue nyesel bgt dulu vaksin sinopharm, pas jadwal vaksin kedua gue positif covid, trs sampe skrg gaada info vaksinasi sinopharm lagi fakkk",sumpah aku sesal banget dulu vaksin sinopharm pas jadwal vaksin dua aku positif covid terus sampai sekarang enggak ada informasi vaksinasi sinopharm lagi fak,0
16,"#Live 
Pro3 RRI saat ini sedang mewawancara Jubir Vaksinasi Covid-19 Kemenkes, Siti Nadia Tarmizi terkait dengan Vaksin Booster Sinopharm Berbayar.

Selengkapnya dengarkan di 88.8 Fm Pro3 RRI

-J.S-",profesional rri saat ini sedang wawancara juru bicara vaksinasi covid kemenkes siti nadia tarmizi kait dengan vaksin booster sinopharm bayar lengkap dengar di fm profesional rri,0
17,#InfoGenWaniPooll BPOM berikan izin penggunaan darurat atau EUA untuk vaksin Covid-19 Sinopharm sebagai vaksin dosis tiga atau booster. Vaksin Sinopharm digunakan sebagai booster homolog.,bpom ikan izin guna darurat atau eua untuk vaksin covid sinopharm bagai vaksin dosis tiga atau booster vaksin sinopharm guna bagai booster homolog,1
18,"@KemenkesRI @satgascovid19id @SatgasCovid19 @jokowi @detikcom kerabat saya divaksin pertama sinopharm, kemudian kena covid dan terlewat vaksin kedua. Sekarang dia kesulitan untuk mendapatkan vaksin kedua. Bisa dibantu?",kerabat saya vaksin pertama sinopharm kemudian kena covid dan lewat vaksin dua sekarang dia sulit untuk dapat vaksin dua bisa bantu,1
19,"@VirtuaWildness @LtdAkbar Ada yang tahu,contain virus vaksin covid seperti sinovac,sinopharm ada berapa?..sepertinya ngak ada dilabel botol?",ada yang tahu contain virus vaksin covid seperti sinovac sinopharm ada berapa seperti enggak ada label botol,0
20,"@AbdulLatif_BE @imanr81 @dokterapin @dr_koko28 @indrakusuma Sinovac/Sinopharm halal... Yg lainnya Haram.
Itu Fatwa MUI.

Yg saya tanyakan, bagaimana dengan yg menerima Pfizer/Mozernq/AZ yg jelas haram...? Mengatasnamakan 'Vaksin baik namun 'memaksa' barang haram. Sementara obat Covid bukan cuma itu. Sehingga kedaruratan gak berlaku",sinovac sinopharm halal yang lain haram itu fatwa mui yang saya tanya bagaimana dengan yang terima pfizer mozernq az yang jelas haram mengatasnamakan vaksin baik namun paksa barang haram sementara obat covid bukan cuma itu sehingga darurat enggak laku,0
21,"@agustinahera99 maaf numpang nanya kak, udh dapet vaksin kedua sinopharm kah? sy jg lg nyari buat kk sy dosis kedua area jakarta, tangsel, trakhir vaksin juni trus covid nunggu 3 bulan smp skrng ga dpt dpt lg dosis kedua.",maaf numpang tanya kak sudah dapat vaksin dua sinopharm kah saya juga lagi cari buat kakak saya dosis dua area jakarta tangsel trakhir vaksin juni terus covid tunggu bulan sampai sekarang enggak dapat dapat lagi dosis dua,0
