,raw,clean,prediction
0,"@OposisiCerdas Vaksin gratis.. semangat nya agar Rakyat NKRI tidak rentan terhadap covid, kalau tidak mau vaksin tidak usah naik pesawat,kereta / kapal laut..gitu aja kok repot!!!
Aturan pemerintah untuk kebaikan bersama baik yg mudik ataupun yang di tuju!!",vaksin gratis semangat nya agar rakyat nkri tidak rentan hadap covid kalau tidak mau vaksin tidak perlu naik pesawat kereta kapal laut begitu saja kok repot atur perintah untuk baik sama baik yang mudik atau yang di tuju,1
1,"@bukan4non @ShibaToTheMoon @Dar_Sons9021 @giderha @tvOneNews Bukannya untuk vaksin gratis???Dengan vaksin akan tidak rentan dengan covid .mungkin otakmu yg cuma dikit!!
Semangat nya adalah agar Rakyat di NKRI terhidar dari virus!!
Salahnya dimana????",bukan untuk vaksin gratis dengan vaksin akan tidak rentan dengan covid mungkin otak yang cuma dikit semangat nya adalah agar rakyat di nkri terhidar dari virus salah mana,0
2,"@cowokberkemeja Kalau covid melonjak, buat biaya pengobatan nya yg gratis itu pake dana dr mana? APBN jg kan?Gede mana biaya pencegahan dgn vaksin atau pengobatan. Masak gak mau kyk Belanda yg bebas masker dgn pencapain booster diatas 90%",kalau covid lonjak buat biaya obat nya yang gratis itu pakai dana dari mana apbn juga kan gede mana biaya cegah dengan vaksin atau obat masak enggak mau kayak belanda yang bebas masker dengan pencapain booster atas,0
3,"Sedih banget w nanya vaksin PCV beneran bisa gratis atau ngga di Puskesmas ke bidan desa, balesnya malah, ""PCV sih vaksin apa, bu? Di Puskesmas adanya vaksin covid.""

😩😩😩",sedih banget tanya vaksin pcv benar bisa gratis atau enggak di puskesmas ke bidan desa balesnya bahkan pcv sih vaksin apa bu di puskesmas ada vaksin covid,0
4,"@amwidyou Lah gue pertama liat spanduknya di Malang malah pas vaksin covid, gratis. 

Masa Jatim duluan baru Jateng?",lah aku pertama lihat spanduk di malang bahkan pas vaksin covid gratis masa jatim duluan baru jateng,1
5,@kompascom Tapi pemerintah membagikan mi-gor gratis demi mencapai target vaksin covid 19.,tapi perintah bagi mi gor gratis demi capai target vaksin covid,1
6,"@geloraco Nonton motogp cuma 100 rban 1tempat dari segitu banyak lokal, mudik jutaan menyebar seluruh wilayah , dari pusat covid keluar yg aman covid , kasihan klo bawa pulang virus toh vaksin gratis makin mudah , biar segera berakhir corona saling menjaga",tonton motogp cuma rban tempat dari segitu banyak lokal mudik juta sebar seluruh wilayah dari pusat covid keluar yang aman covid kasihan kalo bawa pulang virus toh vaksin gratis makin mudah supaya segera akhir corona saling jaga,1
7,"Vaksin Covid19 1 &amp; 2 Gratis. Booster Vaksin nya Gratis. Yg tdk krn ""sakit"" masih tdk mau ke centra vaksin untuk di vaksin ?  Kemudian salahkan  pemerintah krn bikin aturan boleh pergi2 jika sdh divaksin 1 &amp; 2  ?  #begitulah golongan Tidak Pandai Bersyukur.",vaksin covid amp gratis booster vaksin nya gratis yang tidak karena sakit masih tidak mau ke centra vaksin untuk di vaksin kemudian salah perintah karena buat atur boleh pergi jika sudah vaksin amp golong tidak pandai syukur,1
8,"@ShamsiAli2 Vaksin booster gratis tujuannya utk memberi perlindungan kesehatan, supaya covid lekas hilang dan rakyat  jadi kebal, seharusnya anda ikut menyukseskan supaya orang2 bondong pada vaksin.",vaksin booster gratis tuju untuk beri lindung sehat supaya covid lekas hilang dan rakyat jadi kebal harus anda ikut sukses supaya orang bondong pada vaksin,1
9,"Banyak yg protes klo vaksin 3 booster jadi syarat mudik lebaran
Padahal niat pemerintahnya baik biar pada di vaksin biar terhindar dr covid pas mudik, pada ngeluh ae padahal vaksin juga gratis kenapa bilang pemerintah bisnis, yg ada keluar biaya bestie",banyak yang protes kalo vaksin booster jadi syarat mudik lebaran padahal niat perintah baik supaya pada di vaksin supaya hindar dari covid pas mudik pada ngeluh saja padahal vaksin juga gratis kenapa bilang perintah bisnis yang ada keluar biaya bestie,1
