,raw,clean,prediction
0,"vaksin Coronavac, vaksin jadi buatan Sinovac asal Tiongkok, vaksin COVID-19, vaksin produksi Bio Farma dengan bahan baku dari Sinovac, vaksin AstraZeneca asal Inggris, vaksin Moderna dan Pfizer asal Amerika Serikat.

#IndonesiaSehatIndonesiaHebat",vaksin coronavac vaksin jadi buat sinovac asal tiongkok vaksin covid vaksin produksi bio farma dengan bahan baku dari sinovac vaksin astrazeneca asal inggris vaksin moderna dan pfizer asal amerika serikat,1
1,"@Azfarovski I still tak kena covid (alhamdulillah). 

Full vax : AstraZeneca 
Booster : masih plan lagi.

Pernah demam tapi result stay negative.",masih tidak kena covid alhamdulillah full vax astrazeneca booster masih plan lagi pernah demam tapi result tinggal negative,1
2,"Jenis Vaksin yang diberikan adalah Pfizer dan AstraZeneca. 

Sentra Vaksininasi Covid-19 dosis ke-3 (booster) ini bekerja sama dengan Kementerian Kesehatan, Dinas Kesehatan DKI Jakarta, Puskesmas Kecamatan Kebon Jeruk, dan Mister Aladin.",jenis vaksin yang beri adalah pfizer dan astrazeneca sentra vaksininasi covid dosis ke booster ini kerja sama dengan menteri sehat dinas sehat dki jakarta puskesmas camat kebon jeruk dan mister aladin,1
3,"Jenis vaksin COVID-19 yang telah mendapatkan izin penggunaan darurat dari Badan Pengawas Obat dan Makanan (BPOM) RI, antara lain:

CoronaVac buatan Sinovac
Vaksin Comirnaty buatan Pfizer
Vaksin Zivifax buatan Anhui
Moderna
AstraZeneca",jenis vaksin covid yang telah dapat izin guna darurat dari badan awas obat dan makan bpom ri antara lain coronavac buat sinovac vaksin comirnaty buat pfizer vaksin zivifax buat anhui moderna astrazeneca,1
4,"Vaksinasi Covid-19 kali ini diperuntukkan untuk para pekerja di lingkungan perusahaan, dengan jenis vaksin yakni Astrazeneca dan ditargetkan sebanyak 3000 pekerja tervaksinasi dosis ketiga atau booster.",vaksinasi covid kali ini untuk untuk para kerja di lingkung usaha dengan jenis vaksin yakni astrazeneca dan target banyak kerja vaksinasi dosis tiga atau booster,1
5,"Vaksin booster astrazeneca efeknya kek covid beneran😢
Tulang w nyeri banget😭",vaksin booster astrazeneca efek kayak covid benar tulang nyeri banget,0
6,"Persyaratan masuk ke Jerman: menunjukkan bukti vaksinasi Covid-19, bukti telah sembuh dari Covid-19 ATAU bukti tes antigen atau PCR dengan hasil negatif.

Vaksin yang berlaku di Jerman ialah AstraZeneca,BionTech/Pfizer, Moderna, Johnson &amp;Johnson.",syarat masuk ke jerman tunjuk bukti vaksinasi covid bukti telah sembuh dari covid atau bukti tes antigen atau pcr dengan hasil negatif vaksin yang laku di jerman ialah astrazeneca biontech pfizer moderna johnson amp johnson,1
7,"kalau ditanya, saya vaksin 2 kali dapatnya apa? saya vaksin AstraZeneca (di informasi vaksin, hanya tertera nama alias) yang katanya lebih ""superior"" karena menyertakan sample dari spikes virus Covid asli. efeknya? vaksin pertama saya drop, dan bisa istirahat total di akhir pekan",kalau tanya saya vaksin kali dapat apa saya vaksin astrazeneca di informasi vaksin hanya tera nama alias yang kata lebih superior karena serta sample dari spikes virus covid asli efek vaksin pertama saya drop dan bisa istirahat total di akhir pekan,1
8,"Siapa yang seperti saya, merasa mual setelah mendapat dosis ketiga vaksin Covid buatan AstraZeneca?",siapa yang seperti saya rasa mual telah dapat dosis tiga vaksin covid buat astrazeneca,0
9,@ayim401 @waqiyuddinarif Just nak share. Saya ada asthma and dah ambil booster alhamdulillah okay. Side effect pun takde. Semua dos says ambil AstraZeneca. Minggu lepas kene covid but tak teruk. If tak ambil booster maybe saya kene masuk hospital dah,just mau share saya ada asthma dan deh ambil booster alhamdulillah okay side effect pun takde semua dos says ambil astrazeneca minggu lepas kene covid but tidak teruk if tidak ambil booster maybe saya kene masuk hospital deh,1
