,raw,clean,prediction
0,"@drpriono1 Saya mau divaksin booster asal vaksinnya halal dok, karena sudah tidak kena lagi asas darurat. Apalagi saya sudah 2x alumni covid dan 2x vaksin pfizer",saya mau vaksin booster asal vaksin halal dok karena sudah tidak kena lagi asas darurat apalagi saya sudah alumni covid dan vaksin pfizer,1
1,"vaksin Coronavac, vaksin jadi buatan Sinovac asal Tiongkok, vaksin COVID-19, vaksin produksi Bio Farma dengan bahan baku dari Sinovac, vaksin AstraZeneca asal Inggris, vaksin Moderna dan Pfizer asal Amerika Serikat.

#IndonesiaSehatIndonesiaHebat",vaksin coronavac vaksin jadi buat sinovac asal tiongkok vaksin covid vaksin produksi bio farma dengan bahan baku dari sinovac vaksin astrazeneca asal inggris vaksin moderna dan pfizer asal amerika serikat,1
2,"Gebrakan Vaksinasi Booster Covid-19 Pfizer, Danramil 02/Crg: Percepatan Herd Immunity",gebrak vaksinasi booster covid pfizer danramil crg cepat herd immunity,1
3,"- minimal 3 bulan (sebelum 24 Maret 2022 sudah genap pas 3 bulan atau vaksin dosis 2 diperoleh sebelum tg 24 Desember 2021)
3. Booster Pfizer digunakan untuk vaksin dosis primer Pfizer, Sinovac/CoronaVac dan AZ.
4. Bagi penyintas covid tanpa gejala atau gejala ringan dapat",minimal bulan belum maret sudah genap pas bulan atau vaksin dosis oleh belum tg desember booster pfizer guna untuk vaksin dosis primer pfizer sinovac coronavac dan az bagi sintas covid tanpa gejala atau gejala ringan dapat,1
4,"Kan kan ribet kan calon jemaah haji disuruh booster vaksin covid pada ntar2an skrg pada ribut minta dikoordinir vaksinnya kan krn mo brgkt.
Trus klo ngotot minta pfizer tapi vaksinnya gak ada tuh maunya gmn sihh🙃🙃🙃",kan kan ribet kan calon jemaah haji suruh booster vaksin covid pada entar an sekarang pada ribut minta dikoordinir vaksin kan karena mau brgkt terus kalo ngotot minta pfizer tapi vaksin enggak ada itu mau bagaimana sih,0
5,"Wajar ga sih angkatan awal Covid-19 tu vaksin berkali-kali? ya vaksinya belum sempurna, belum kenal Covid-19 secara utuh. Kalo jaman anak gua masih vaksin berkali-kali tu baru gua pertanyakan RnD Pfizer, J&amp;J, PT. terawanFarma",wajar enggak sih angkat awal covid itu vaksin kali kali iya vaksinya belum sempurna belum kenal covid cara utuh jika jaman anak aku masih vaksin kali kali itu baru aku tanya rnd pfizer amp pt terawanfarma,0
6,"Mereka dapet vaksin nya az apa moderna ya? Apa pfizer??

Gile sih.. w juga pake pfizer lemes nya ampun2an kek positif covid kemaren",mereka dapat vaksin nya az apa moderna iya apa pfizer gila sih juga pakai pfizer lemes nya ampun an kayak positif covid kemarin,0
7,"@tamanserai @adlialy @aryndadimas @cremedesea Beda2 kali.. Saya vaksin sinovac 2X baik2 saja. Ada teman vaksin AZ 2 kali tahun lalu bapil ,panik terus ke RS, dinyatakan positif, 2 hari kemudian wafat. Teman saya 2X AZ dan booster pfizer, bulan lalu kena covid ..eeh kok nuduh kami yg tdk bergejala apa2 nulari dia.",beda kali saya vaksin sinovac baik saja ada teman vaksin az kali tahun lalu bapil panik terus ke rs nyata positif hari kemudian wafat teman saya az dan booster pfizer bulan lalu kena covid eeh kok tuduh kami yang tidak gejala apa nulari dia,0
8,"WAG aku isi 100an orang.
Tahun lalu rame banget yang pamer &amp; nyuruh vaksin.

Setelah pada kena Covid abis vaksin &amp; kena ini-itu lainnya….. tahun ini gak pernah lagi ada yang nyebut vaksin. 

Terakhir aku cuma share tipis2 soal data Pfizer. Sunyi. Sesunyi malam kudus~",wag saya isi an orang tahun lalu ramai banget yang pamer amp nyuruh vaksin telah pada kena covid habis vaksin amp kena ini itu lain tahun ini enggak pernah lagi ada yang nyebut vaksin akhir saya cuma share tipis soal data pfizer sunyi sunyi malam kudus,0
9,"@adlialy @aryndadimas @cremedesea Saya dosis 3, az 2x, pfizer 1x. Kena omicron dengan gejala jauh lebih ringan dari adik saya yang vaksin 2x sinovac. Teman saya belum sempat vaksin covid langsung meninggal. Ini informasi aja sih reaksi yang kena covid dari yang vaksin 3x, 2x dan belum sempat vaksin sama sekali.",saya dosis az pfizer kena omicron dengan gejala jauh lebih ringan dari adik saya yang vaksin sinovac teman saya belum sempat vaksin covid langsung tinggal ini informasi saja sih reaksi yang kena covid dari yang vaksin dan belum sempat vaksin sama sekali,0
10,"@Azfarovski dari awal covid ada sampai sekarang sakit macam2 tapi bila swab alhamdullilah negatif. vaksin 1-3 pfizer, rasanya bukan tak kena maybe time kena tu tak sedar (without symptoms) 😭 and tanpa sedar dah tersebarkan virus dekat orang. i’m sorry🥲 moga dijauhkan.",dari awal covid ada sampai sekarang sakit macam tapi bila swab alhamdullilah negatif vaksin pfizer rasa bukan tidak kena maybe time kena itu tidak dar without symptoms dan tanpa dar deh sebar virus dekat orang maaf moga jauh,0
11,"Gw baru tau bokap vaksin covid udah 4x..

2x Sinovac pas di Jakarta &amp; 2x Pfizer pas di LA 🤣🤣🤣🤣",gue baru tahu ayah vaksin covid sudah sinovac pas di jakarta amp pfizer pas di lah,1
12,Ambik vaksin pfizer and AZ pun kena covid category 2. Macam mana lah orang yang tak vaksin langsung,ambik vaksin pfizer dan az pun kena covid category macam mana lah orang yang tidak vaksin langsung,0
13,"COVID DAY 3 

Demam 
Sakit tekak
Cirit birit 
Pening + mual

Dh vaksin 2 dos Pfizer, 1 dos Moderna.",covid hari demam sakit tekak cirit birit pening mual deh vaksin dos pfizer dos moderna,0
14,"Tapi alhamdulillah, kami bertiga kekal negatif. Dengan izin-Nya, mungkin vaksin dan booster melindungi kami daripada jangkitan, dan antibodi yang terhasil mampu melawan virus covid, setakat ini.

Triple AZ, and double Sinovac + Pfizer. 

Get your vaccine, get boosted as well.",tapi alhamdulillah kami tiga kekal negatif dengan izin nya mungkin vaksin dan booster lindung kami daripada jangkit dan antibodi yang hasil mampu lawan virus covid takat ini triple az dan double sinovac pfizer get your vaccine get boosted as jadi,1
15,"Ambil vaksin, ambil booster. Rezeki ayah, tak teruk side effects covid, mungkin dengan bantuan vaksin dan booster. Double AZ + Pfizer. Ayah masih cergas, cuma batuk sesekali dan selsema sedikit. Tak ada symptoms lain. Aku, mak, adik double vaccinated and boosted, kekal negatif.",ambil vaksin ambil booster rezeki ayah tidak teruk side effects covid mungkin dengan bantu vaksin dan booster double az pfizer ayah masih cergas cuma batuk sekal dan selsema sedikit tidak ada symptoms lain saya ibu adik double vaccinated dan boosted kekal negatif,1
16,"Nyokap gue udah double vaksin sinovac sinovac pfizer pfizer. Pfizer dosenya full lagi. Keliling2 orang covid kaka gue dan gue (pas blm terkonfirmasi), bibi ART nyokap gue jg kena. Nyokap bokap gue bersih sih sih alhamdulillah.",ibu aku sudah double vaksin sinovac sinovac pfizer pfizer pfizer dosenya full lagi keliling orang covid kakak aku dan aku pas belum konfirmasi bibi anyokap aku juga kena ibu ayah aku bersih sih sih alhamdulillah,1
17,"@RudyRoedyanto Nopember 2021 Aku vaksin 1 &amp; 2 pake Pfizer, Pebruari 2022 kena covid. Merk gak jamin lolos dari covid. 
Bisa bisanya diskriminasi vaksin, wkwk. 
Apakah karena sinovac produk Asia,? 
🤔",nopember saya vaksin amp pakai pfizer pebruari kena covid merk enggak jamin lolos dari covid bisa bisa diskriminasi vaksin wkwk apakah karena sinovac produk asia,0
18,"vaksin booster pfizer ini bener-bener bikin gw ngerasa kena covid loh, duh sumeng dari pagi",vaksin booster pfizer ini benar benar buat gue rasa kena covid loh aduh sumeng dari pagi,0
19,"@AbdulAzizlatte Sehari dua hari sebelum vaksin sebaiknya jg jangan kecapean..krn efeknya  sangat  berpengaruh setelah kita vaksin..sy sebelum vaksin terus berkegiatan, setelah vaksin pake Pfizer langsung tepar 3 hari ga bangun krn sakit semua badan beserta demam, rasanya sama dgn saat kena covid",hari dua hari belum vaksin baik juga jangan cape karena efek sangat pengaruh telah kita vaksin saya belum vaksin terus giat telah vaksin pakai pfizer langsung kapar hari enggak bangun karena sakit semua badan serta demam rasa sama dengan saat kena covid,1
20,"Pfizer Mengetahui “Vaksin” mRNA-nya untuk Covid “Bocor Ke Ovarium” tetapi Menutupi Semuanya

Sebuah perintah pengadilan memaksa Pfizer untuk merilis 55.000 halaman dokumen tentang “vaksin” virus corona (Covid-19) Wuhan-nya, dan hal-hal mengejutkan sudah mulai bermunculan.",pfizer tahu vaksin mrna nya untuk covid bocor ke ovarium tetapi tutup semua buah perintah adil paksa pfizer untuk rilis halaman dokumen tentang vaksin virus corona covid wuhan nya dan hal hal kejut sudah mulai muncul,0
21,"Ada yg udh vaksin ketiga pake Pfizer dan kipinya malah kyk gejala covid? Insecure bgt karena mirip bgt sama symptoms pas dulu kena covid, ini kipi atau gw covid lg anjir 😌",ada yang sudah vaksin tiga pakai pfizer dan kipinya bahkan kayak gejala covid insecure banget karena mirip banget sama symptoms pas dulu kena covid ini kipi atau gue covid lagi,0
22,"@twitpos Create demand Vaksin:Ciptakan Virus,Covid19(Pfizer,Moderna)",create demand vaksin cipta virus covid pfizer moderna,1
23,"Jenis Vaksin yang diberikan adalah Pfizer dan AstraZeneca. 

Sentra Vaksininasi Covid-19 dosis ke-3 (booster) ini bekerja sama dengan Kementerian Kesehatan, Dinas Kesehatan DKI Jakarta, Puskesmas Kecamatan Kebon Jeruk, dan Mister Aladin.",jenis vaksin yang beri adalah pfizer dan astrazeneca sentra vaksininasi covid dosis ke booster ini kerja sama dengan menteri sehat dinas sehat dki jakarta puskesmas camat kebon jeruk dan mister aladin,1
24,"Efek Vaksin Ke-3 Pfizer
Efek vaksin ke-3 yang muncul usai divaksinasi menggunakan Pfizer sebenarnya tidak jauh berbeda dari vaksin COVID-19 lainnya.",efek vaksin ke pfizer efek vaksin ke yang muncul usai vaksinasi guna pfizer benar tidak jauh beda dari vaksin covid lain,1
25,"Jenis vaksin COVID-19 yang telah mendapatkan izin penggunaan darurat dari Badan Pengawas Obat dan Makanan (BPOM) RI, antara lain:

CoronaVac buatan Sinovac
Vaksin Comirnaty buatan Pfizer
Vaksin Zivifax buatan Anhui
Moderna
AstraZeneca",jenis vaksin covid yang telah dapat izin guna darurat dari badan awas obat dan makan bpom ri antara lain coronavac buat sinovac vaksin comirnaty buat pfizer vaksin zivifax buat anhui moderna astrazeneca,1
26,"Adapun vaksin yang digunakan adalah jenis Sinovac sebanyak 27 dan jenis Pfizer 12.

""Vaksinasi COVID-19 dosis ke-2 hari ini berjalan lancar, sukses, dan aman.",adapun vaksin yang guna adalah jenis sinovac banyak dan jenis pfizer vaksinasi covid dosis ke hari ini jalan lancar sukses dan aman,1
27,"Btw vaksin primer w pfizer dan booster full dose AZ. Padahal udah lama banget gak flu kek gini, tahun lalu kena covid aja tuh gak gini 🥲🥲",ngomong-ngomong vaksin primer pfizer dan booster full dose az padahal sudah lama banget enggak flu kayak begini tahun lalu kena covid saja itu enggak begini,1
28,"Efek samping vaksin Covid-19 Pfizer di antaranya: 
Berbagai jenis herpes, berbagai jenis tumor, diabetes, pneumonia, berbagai jenis autoimun, cedera liver (hati), gagal jantung dan berbagai jenis masalah jantung, menopause dini, kelahiran prematur, dll.",efek samping vaksin covid pfizer di antara bagai jenis herpes bagai jenis tumor diabetes pneumonia bagai jenis autoimun cedera liver hati gagal jantung dan bagai jenis masalah jantung menopause dini lahir prematur dan lain,0
29,"Puncak komedi 2022, abis vaksin booster+ Pfizer malah making drop positive COVID-19. yah gimana ini ceritanya :( @KemenkesRI",puncak komedi habis vaksin booster pfizer bahkan making drop positive covid ya bagaimana ini cerita,0
30,"@abdurraouuf No, bukan side efx nya sama, tp 2 2 ada side efx. Itu konklusinya. Soalan ni diajukan pertama sekali kerana ingin tahu keberkesanan ivermectin di mana ada doktor yg claim ia berkesan melawan covid. This doktor claim it even before sy ambil vaksin lg. Ditambah pula report pfizer..",no bukan side enya sama tapi ada side itu konklusi soal ini aju pertama sekali rana ingin tahu kesan ivermectin di mana ada doktor yang claim ia kesan lawan covid this doktor claim itu even before saya ambil vaksin lagi tambah pula repopfizer,0
31,@tonangardyanto mohon petunjuk dok... Apakah vaksin meningitis boleh dilakukan setelah vaksin booster covid 19.  Jumat lalu sy baru saja vaksin covid 3 dg  pfizer 1/2 dosis.  Tidak ada gejala ikutan yg serius.  hanya pegal sedikit di sekitar tempat suntikan.   Sy mau berangkat umrah tgl 22 Maret,mohon tunjuk dok apakah vaksin meningitis boleh laku telah vaksin booster covid jumat lalu saya baru saja vaksin covid dengan pfizer dosis tidak ada gejala ikut yang serius hanya pegal sedikit di sekitar tempat sunti saya mau berangkat umrah tanggal maret,0
32,"@kaanarizkiyp @yanadheem Dari artikel yg aku baca katanya efeknya lebih mantep dr yg sarcov vaksin. Tapi itu tergantung sm kekebalan tubuh kita. Moderna, pfizer juga lebih bikin kita lebih kebal sih sm corona. Jadi pas gelombang badai ke4 ini ga sebanyak th lalu. Cemungut",dari artikel yang saya baca kata efek lebih mantap dari yang sarcov vaksin tapi itu gantung sama kebal tubuh kita moderna pfizer juga lebih buat kita lebih kebal sih sama corona jadi pas gelombang badai ke ini enggak banyak tahun lalu cemungut,1
33,"@ssheilyhs Iyaa malah sinovac ga terasa apa2, pegel di daerah suntik cuma sejam dua jam, aku abis vaksin yaudah lgsg masuk kerja.. pfizer gatau deh kok aku banyak dramanya mulai pegel2 badan, ngawang2 ga konsen gt, ngantukkk wkwkwk temenku abis booster itu 2 minggu kmudian kena covid tp 😂",iya bahkan sinovac enggak asa apa gel di daerah suntik cuma jam dua jam saya habis vaksin ya sudah langsung masuk kerja pfizer enggak tau deh kok saya banyak drama mulai gel badan ngawang enggak konsen begitu ngantuk wkwkwk temenku habis booster itu minggu kmudian kena covid tapi,1
34,"Persyaratan masuk ke Jerman: menunjukkan bukti vaksinasi Covid-19, bukti telah sembuh dari Covid-19 ATAU bukti tes antigen atau PCR dengan hasil negatif.

Vaksin yang berlaku di Jerman ialah AstraZeneca,BionTech/Pfizer, Moderna, Johnson &amp;Johnson.",syarat masuk ke jerman tunjuk bukti vaksinasi covid bukti telah sembuh dari covid atau bukti tes antigen atau pcr dengan hasil negatif vaksin yang laku di jerman ialah astrazeneca biontech pfizer moderna johnson amp johnson,1
35,"@Khairykj  Malaysia to receive Pfizer’s Covid-19 treatment drug this month. 👍. So, now @DrAdhamBaba @KKMPutrajaya masih perlu lagi 5 tahun buat kajian untuk keluarkan vaksin Covid ke? Apa kata minta pakar2 KKM buat kajian - maybe 10, 15 tahun, on ubat/drug Covid pula? 🐄🦧",malaysia tapi receive pfizer covid treatment drug this month sok now masih perlu lagi tahun buat kaji untuk keluar vaksin covid ke apa kata minta pakar kkm buat kaji maybe tahun on ubat drug covid pula,1
36,"Sasaran vaksin mulai dari remaja hingga lansia, menggunakan jenis vaksin Pfizer.

Trimedya berharap, vaksinasi booster yang digelar PPDB se-Jabodetabek bisa mendukung program vaksinasi pemerintah agar Indonesia segera bebas dari pandemi COVID-19.",sasar vaksin mulai dari remaja hingga lanjut usia guna jenis vaksin pfizer trimedya harap vaksinasi booster yang gelar terima serta didik baru se jabodetabek bisa dukung program vaksinasi perintah agar indonesia segera bebas dari pandemi covid,1
37,"Gw sebenernya dari awal mau Vaksin 1 dan 2 itu Pfizer, cuma karena nyampe nya di Indo lama banget sekitar Oct 2021, gw udh keburu parno takut mati konyol karena kena Covid Delta, akhirnya gw vaksin aja.",gue benar dari awal mau vaksin dan itu pfizer cuma karena sampai nya di indonesia lama banget sekitar oct gue sudah lanjur parno takut mati konyol karena kena covid delta akhir gue vaksin saja,0
38,"Proof that vaccine Pfizer ni gila power. Bukan nak bertuhankan vaksin ya. Dengan izin Allah, parents aku dedua negatif dan sihat walaupun aku dengan adik aku bergilir positive covid. Ni belum booster lagi. Tengok ah cane next week kita book appointment.",proof that vaccine pfizer ini gila power bukan mau tuhan vaksin iya dengan izin allah parents saya dedua negatif dan sehat walaupun saya dengan adik saya gilir positive covid ini belum booster lagi jenguk ah cane lanjut wig kita book appointment,1
39,"Ramai rupanya yang tak berani bersuara tentang vaksin Pfizer mRNA yang bahaya kepada kesihatan tubuh badan, syabas @PPIM_official @LokmanAdam kerana berani bongkar isu ini, sentiasa support apa yang kalian buat 🙏 #COVID19",ramai rupa yang tidak berani suara tentang vaksin pfizer mrna yang bahaya kepada kesihatan tubuh badan syabas rana berani bongkar isu ini sentiasa suppoapa yang kalian buat,0
40,Pfizer efeknya pegel dan ngilu sebadan ginii ini vaksin korona po latihan jadi lansia,pfizer efek gel dan ngilu bad begini ini vaksin korona po latih jadi lanjut usia,0
