,raw,clean,prediction
0,"Hi @JSCLab, saya butuh informasi dimana masih tersedia vaksin covid19 utk dewasa jenis Sinovac buat dosis 1 dan 2.
Saya dan istri belum vaksin dan ingin vaksin dengan Sinovac namun sudah susah mencarinya. Mohon bantuan informasinya. Terima kasih",hai saya butuh informasi mana masih sedia vaksin covid untuk dewasa jenis sinovac buat dosis dan saya dan istri belum vaksin dan ingin vaksin dengan sinovac namun sudah susah cari mohon bantu informasi terima kasih,1
1,"Yang bisa pake booster Sinopharm:
👉🏻 Dosis 1 &amp; 2 Sinopharm
👉🏻 Dosis 1 &amp; 2 Sinovac
Dosisnya sama-sama 0.5 ml 💉

Di lapangan gimana nih? Beneran udah bisa atau masih ada kendala?

(5/5)",yang bisa pakai booster sinopharm dosis amp sinopharm dosis amp sinovac dosis sama sama ml di lapang bagaimana ini benar sudah bisa atau masih ada kendala,1
2,"Sinopharm itu harus Homolog (Kalo Vaksin Primernya Sinopharm, dosis selanjutnya harus sama) 
Nah beda sama Sinovac yang Heterolog (Vaksin primer sama booster boleh beda)

💉 Misalnya Vaksin primer kamu Sinovac, boosternya bisa pake Pfizer, AZ, Moderna, dan Sinopharm.

(2/5)",sinopharm itu harus homolog jika vaksin primer sinopharm dosis lanjut harus sama nah beda sama sinovac yang heterolog vaksin primer sama booster boleh beda misal vaksin primer kamu sinovac boosternya bisa pakai pfizer az moderna dan sinopharm,1
3,"vaksin Coronavac, vaksin jadi buatan Sinovac asal Tiongkok, vaksin COVID-19, vaksin produksi Bio Farma dengan bahan baku dari Sinovac, vaksin AstraZeneca asal Inggris, vaksin Moderna dan Pfizer asal Amerika Serikat.

#IndonesiaSehatIndonesiaHebat",vaksin coronavac vaksin jadi buat sinovac asal tiongkok vaksin covid vaksin produksi bio farma dengan bahan baku dari sinovac vaksin astrazeneca asal inggris vaksin moderna dan pfizer asal amerika serikat,1
4,"- minimal 3 bulan (sebelum 24 Maret 2022 sudah genap pas 3 bulan atau vaksin dosis 2 diperoleh sebelum tg 24 Desember 2021)
3. Booster Pfizer digunakan untuk vaksin dosis primer Pfizer, Sinovac/CoronaVac dan AZ.
4. Bagi penyintas covid tanpa gejala atau gejala ringan dapat",minimal bulan belum maret sudah genap pas bulan atau vaksin dosis oleh belum tg desember booster pfizer guna untuk vaksin dosis primer pfizer sinovac coronavac dan az bagi sintas covid tanpa gejala atau gejala ringan dapat,1
5,"Pagiii, ada yg pernah vaksin covid 19 pakai covovax? Mau tanya efek sampingnya sprti apa ya? Apa hampir sama dgn sinovac? Karna orgtua mau vaksin masih takut, akhirnya skrg mau tapi minta yg sinovac🥲 dan skrg sinovac hanya untuk anak kecil saja. Mohon info @infomalang 🙏",pagi ada yang pernah vaksin covid pakai covovax mau tanya efek samping seperti apa iya apa hampir sama dengan sinovac karena orgtua mau vaksin masih takut akhir sekarang mau tapi minta yang sinovac dan sekarang sinovac hanya untuk anak kecil saja mohon informasi,0
6,"@tamanserai @adlialy @aryndadimas @cremedesea Beda2 kali.. Saya vaksin sinovac 2X baik2 saja. Ada teman vaksin AZ 2 kali tahun lalu bapil ,panik terus ke RS, dinyatakan positif, 2 hari kemudian wafat. Teman saya 2X AZ dan booster pfizer, bulan lalu kena covid ..eeh kok nuduh kami yg tdk bergejala apa2 nulari dia.",beda kali saya vaksin sinovac baik saja ada teman vaksin az kali tahun lalu bapil panik terus ke rs nyata positif hari kemudian wafat teman saya az dan booster pfizer bulan lalu kena covid eeh kok tuduh kami yang tidak gejala apa nulari dia,0
7,"@adlialy @aryndadimas @cremedesea Saya dosis 3, az 2x, pfizer 1x. Kena omicron dengan gejala jauh lebih ringan dari adik saya yang vaksin 2x sinovac. Teman saya belum sempat vaksin covid langsung meninggal. Ini informasi aja sih reaksi yang kena covid dari yang vaksin 3x, 2x dan belum sempat vaksin sama sekali.",saya dosis az pfizer kena omicron dengan gejala jauh lebih ringan dari adik saya yang vaksin sinovac teman saya belum sempat vaksin covid langsung tinggal ini informasi saja sih reaksi yang kena covid dari yang vaksin dan belum sempat vaksin sama sekali,0
8,"Gw baru tau bokap vaksin covid udah 4x..

2x Sinovac pas di Jakarta &amp; 2x Pfizer pas di LA 🤣🤣🤣🤣",gue baru tahu ayah vaksin covid sudah sinovac pas di jakarta amp pfizer pas di lah,1
9,Sehingga Sinopharm dapat menjadi pilihan vaksin booster bagi pegawai Bapak Ibu yang mendapatkan vaksin primer Sinovac untuk membantu meningkatkan kembali imunitas terhadap Covid-19.,sehingga sinopharm dapat jadi pilih vaksin booster bagi pegawai bapak ibu yang dapat vaksin primer sinovac untuk bantu tingkat kembali imunitas hadap covid,1
10,@detikcom Biar sinovac dibikin laku...dasar!! Kan cepat sekali dibikin vaksin waktu awal2 covid,supaya sinovac bikin laku dasar kan cepat sekali bikin vaksin waktu awal covid,0
11,"@auriaaz_ @cancerpisces49 @jesuis_brian @yxurlips @tubirfess Walau cuma imunitas tapi ya penting juga, vaksin covid aja kayak beneran kena covid padahal vaksin sinovac doang. Capek dikit langsung sakit, minum es langsung bapil.",walau cuma imunitas tapi iya penting juga vaksin covid saja seperti benar kena covid padahal vaksin sinovac doang cape dikit langsung sakit minum es langsung bapil,0
12,"@detikcom China terus Belajar menangani virus sampai membuat vaksin covid pertama di dunia,Sinovac. Mungkin utk mengantisipasi virus2 baru yg lagi dibuat si Ukrania Dan laboratorium2 di seluruh dunia.",china terus ajar tangan virus sampai buat vaksin covid pertama di dunia sinovac mungkin untuk antisipasi virus baru yang lagi buat sih ukrania dan laboratorium di seluruh dunia,1
13,"Sinovac + sinovac + booster pfizer : +ve covid

Simtom : sakit tekak, demam &amp; sakit kepala skejap skejap. Selera makan ok. Overall ok. Yg x ok kene kuarantin 7hari. Duhhhhh, apa la nak buat!",sinovac sinovac booster pfizer ve covid simtom sakit tekak demam amp sakit kepala skejap skejap selera makan ok overall ok yang ok kene kuarantin hari aduh apa lah mau buat,1
14,"Tapi alhamdulillah, kami bertiga kekal negatif. Dengan izin-Nya, mungkin vaksin dan booster melindungi kami daripada jangkitan, dan antibodi yang terhasil mampu melawan virus covid, setakat ini.

Triple AZ, and double Sinovac + Pfizer. 

Get your vaccine, get boosted as well.",tapi alhamdulillah kami tiga kekal negatif dengan izin nya mungkin vaksin dan booster lindung kami daripada jangkit dan antibodi yang hasil mampu lawan virus covid takat ini triple az dan double sinovac pfizer get your vaccine get boosted as jadi,1
15,"@Phatastix @The_Mamu Mak sy AZ, adik2 ade yg sinovac and AZ, sy Pfizer. Tapi Alhamdulillah mase kne covid tu semua baik dlm mase lbih kurang 6 hari. Tapi xde sape pun yg amik booster lg mase tu. Cuma skrg adik sy yg sinovac skrg ni terpaksa amik booster sbb klu tak, status tak fully vacc.",ibu saya az adik adek yang sinovac dan az saya pfizer tapi alhamdulillah mase kne covid itu semua baik dalam mase lebih kurang hari tapi xde sape pun yang amik booster lagi mase itu cuma sekarang adik saya yang sinovac sekarang ini paksa amik booster sebab kalau tidak status tidak fully vacc,1
16,"Nyokap gue udah double vaksin sinovac sinovac pfizer pfizer. Pfizer dosenya full lagi. Keliling2 orang covid kaka gue dan gue (pas blm terkonfirmasi), bibi ART nyokap gue jg kena. Nyokap bokap gue bersih sih sih alhamdulillah.",ibu aku sudah double vaksin sinovac sinovac pfizer pfizer pfizer dosenya full lagi keliling orang covid kakak aku dan aku pas belum konfirmasi bibi anyokap aku juga kena ibu ayah aku bersih sih sih alhamdulillah,1
17,"@RudyRoedyanto Nopember 2021 Aku vaksin 1 &amp; 2 pake Pfizer, Pebruari 2022 kena covid. Merk gak jamin lolos dari covid. 
Bisa bisanya diskriminasi vaksin, wkwk. 
Apakah karena sinovac produk Asia,? 
🤔",nopember saya vaksin amp pakai pfizer pebruari kena covid merk enggak jamin lolos dari covid bisa bisa diskriminasi vaksin wkwk apakah karena sinovac produk asia,0
18,"Jenis vaksin COVID-19 yang telah mendapatkan izin penggunaan darurat dari Badan Pengawas Obat dan Makanan (BPOM) RI, antara lain:

CoronaVac buatan Sinovac
Vaksin Comirnaty buatan Pfizer
Vaksin Zivifax buatan Anhui
Moderna
AstraZeneca",jenis vaksin covid yang telah dapat izin guna darurat dari badan awas obat dan makan bpom ri antara lain coronavac buat sinovac vaksin comirnaty buat pfizer vaksin zivifax buat anhui moderna astrazeneca,1
19,"Adapun vaksin yang digunakan adalah jenis Sinovac sebanyak 27 dan jenis Pfizer 12.

""Vaksinasi COVID-19 dosis ke-2 hari ini berjalan lancar, sukses, dan aman.",adapun vaksin yang guna adalah jenis sinovac banyak dan jenis pfizer vaksinasi covid dosis ke hari ini jalan lancar sukses dan aman,1
20,"Im getting pfizer booster rabu. Positif covid jumaat. 

Oh ye Hospital An Nur Bangi Seksyen 15 tu ada walk in booster weekdays sahaja 9 to 5. Pfizer and Sinovac. Datang bawak bahu je.",im getting pfizer booster rabu positif covid jumaat oh ye hospital an nur bang seksyen itu ada walk ini booster weekdays sahaja tapi pfizer dan sinovac datang bawa bahu je,1
21,"Selamat malam sesama 2 kali sinovac + booster AZ.
Yang udah vaksin covid selain itu, juga selamat malam.",selamat malam sama kali sinovac booster az yang sudah vaksin covid selain itu juga selamat malam,1
